Times (us),interval (us),strain (raw),sensorValue0 (raw)
66268,66268,2757121,515
78772,12504,2755646,515
91272,12500,2755622,515
103772,12500,2756096,515
116272,12500,2756118,515
128772,12500,2756292,515
141272,12500,2756753,515
153772,12500,2758402,515
166276,12504,2759721,515
178776,12500,2760680,516
191280,12504,2761438,516
203780,12500,2762069,515
216280,12500,2761889,516
228784,12504,2761582,515
241284,12500,2761733,515
253784,12500,2762176,515
266284,12500,2762469,515
278784,12500,2762231,515
291284,12500,2762285,515
303784,12500,2762712,515
316284,12500,2762612,515
328784,12500,2762179,515
341284,12500,2762061,515
353784,12500,2762175,516
366284,12500,2762421,515
378788,12504,2762389,516
391288,12500,2761912,516
403788,12500,2762430,516
416288,12500,2762519,516
428788,12500,2762178,516
441288,12500,2762056,516
453788,12500,2762009,516
466288,12500,2762073,516
478788,12500,2762142,516
491292,12504,2761950,516
503792,12500,2761969,516
516292,12500,2762299,516
528796,12504,2762353,516
541296,12500,2762107,516
553800,12504,2762064,517
566300,12500,2762058,517
578800,12500,2762056,517
591300,12500,2762103,518
603800,12500,2762071,518
616300,12500,2762176,520
628804,12504,2761913,521
641308,12504,2761719,519
653812,12504,2761789,519
666316,12504,2761864,519
678816,12500,2761706,519
691316,12500,2761766,519
703820,12504,2761668,520
716324,12504,2761770,520
728824,12500,2761942,520
741328,12504,2761485,521
753832,12504,2761568,521
766332,12500,2761819,520
778836,12504,2761749,520
791336,12500,2761681,520
803836,12500,2761833,520
816336,12500,2761924,520
828840,12504,2761817,520
841344,12504,2761675,520
853848,12504,2761808,520
866352,12504,2761800,520
878852,12500,2761782,521
891352,12500,2761773,522
903852,12500,2761700,522
916356,12504,2761595,521
928860,12504,2761649,521
941364,12504,2761785,521
953868,12504,2761816,521
966372,12504,2761700,521
978872,12500,2761717,521
991372,12500,2761825,521
1003872,12500,2761843,521
1016376,12504,2761598,521
1028876,12500,2761550,521
1041376,12500,2761838,521
1053876,12500,2761850,521
1066376,12500,2761739,521
1078876,12500,2761626,521
1091376,12500,2761635,521
1103880,12504,2761590,521
1116380,12500,2761638,521
1128880,12500,2761773,521
1141380,12500,2761812,521
1153880,12500,2761706,521
1166380,12500,2761652,521
1178880,12500,2761637,521
1191380,12500,2761563,521
1203884,12504,2761671,521
1216388,12504,2761704,521
1228888,12500,2761706,521
1241392,12504,2761800,521
1253892,12500,2761810,522
1266392,12500,2761648,521
1278896,12504,2761681,521
1291396,12500,2761676,521
1303900,12504,2761744,520
1316404,12504,2761797,521
1328904,12500,2761757,521
1341404,12500,2761680,521
1353908,12504,2761664,521
1366408,12500,2761591,520
1378912,12504,2761616,520
1391412,12500,2761830,514
1403912,12500,2761871,519
1416416,12504,2761614,520
1428916,12500,2761470,520
1441416,12500,2761642,520
1453916,12500,2761719,521
1466416,12500,2761591,521
1478920,12504,2761676,522
1491420,12500,2761701,522
1503920,12500,2761729,522
1516420,12500,2761552,522
1528920,12500,2761439,521
1541420,12500,2761760,521
1553924,12504,2761941,522
1566428,12504,2761582,521
1578928,12500,2761228,522
1591428,12500,2761422,522
1603928,12500,2761678,522
1616428,12500,2761830,522
1628928,12500,2761594,522
1641432,12504,2761545,522
1653932,12500,2761752,521
1666432,12500,2761500,522
1678932,12500,2761364,522
1691432,12500,2761667,521
1703940,12508,2761966,521
1716444,12504,2761618,521
1728944,12500,2761304,518
1741444,12500,2761399,518
