Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2670137,398
78500,12500,2670286,396
91000,12500,2670354,394
103500,12500,2670033,393
116000,12500,2669853,393
128500,12500,2670431,392
141000,12500,2671365,390
153504,12504,2671931,390
166008,12504,2671462,390
178512,12504,2670596,389
191012,12500,2669977,388
203512,12500,2670110,387
216012,12500,2670383,388
228512,12500,2670763,387
241012,12500,2671105,385
253516,12504,2671483,385
266020,12504,2679313,385
278520,12500,2684866,384
291020,12500,2673165,383
303520,12500,2674161,382
316020,12500,2674724,383
328520,12500,2674813,382
341020,12500,2676502,380
353520,12500,2678901,380
366020,12500,2679686,380
378520,12500,2679757,379
391020,12500,2678846,378
403520,12500,2679272,378
416020,12500,2679643,378
428524,12504,2678807,377
441024,12500,2677119,376
453528,12504,2677258,375
466028,12500,2677888,376
478532,12504,2678701,375
491036,12504,2680525,373
503536,12500,2680900,373
516036,12500,2679319,374
528536,12500,2678931,373
541040,12504,2679074,371
553540,12500,2678994,371
566044,12504,2679200,372
578544,12500,2679437,371
591044,12500,2679409,369
603544,12500,2679276,369
616044,12500,2679675,369
628548,12504,2679662,369
641048,12500,2679354,367
653548,12500,2678939,367
666048,12500,2678270,367
678548,12500,2677517,367
691048,12500,2677115,365
703548,12500,2676849,365
716048,12500,2676835,365
728548,12500,2676569,365
741048,12500,2676270,363
753548,12500,2676372,363
766052,12504,2676810,363
778556,12504,2676755,363
791056,12500,2676738,361
803556,12500,2676858,361
816056,12500,2676880,361
828560,12504,2676800,361
841060,12500,2676811,359
853564,12504,2676774,359
866068,12504,2676603,360
878568,12500,2676472,359
891072,12504,2676676,357
903572,12500,2676864,357
916072,12500,2676685,358
928572,12500,2676653,357
941076,12504,2677347,356
953576,12500,2677294,355
966076,12500,2677408,356
978576,12500,2677672,355
991076,12500,2677783,354
1003576,12500,2677666,354
1016080,12504,2677474,354
1028580,12500,2677625,354
1041080,12500,2677806,352
1053580,12500,2677461,352
1066084,12504,2677394,353
1078584,12500,2677616,352
1091084,12500,2677621,350
1103584,12500,2677433,350
1116084,12500,2677298,351
1128584,12500,2677227,350
1141084,12500,2677224,349
1153584,12500,2677076,349
1166088,12504,2677051,349
1178588,12500,2677151,349
1191092,12504,2676762,347
1203592,12500,2676493,347
1216092,12500,2676361,348
1228592,12500,2676010,347
1241096,12504,2675916,346
1253596,12500,2676037,346
1266096,12500,2675711,346
1278600,12504,2675751,346
1291100,12500,2679997,344
1303600,12500,2689512,344
1316100,12500,2697248,345
1328604,12504,2701254,344
1341108,12504,2703285,343
1353608,12500,2707360,343
1366108,12500,2715335,343
1378608,12500,2728596,343
1391108,12500,2727140,341
1403612,12504,2721120,341
1416112,12500,2713923,342
1428612,12500,2708862,341
1441112,12500,2707830,340
1453612,12500,2710383,340
1466112,12500,2714718,340
1478616,12504,2720702,340
1491116,12500,2719051,338
1503620,12504,2714579,338
1516120,12500,2707880,339
1528620,12500,2699319,338
1541124,12504,2694228,337
1553624,12500,2693654,337
1566124,12500,2695268,337
1578624,12500,2697119,337
1591124,12500,2697017,335
1603624,12500,2700334,335
1616124,12500,2707143,336
1628628,12504,2707726,335
1641128,12500,2707315,334
1653632,12504,2708053,334
1666132,12500,2709359,335
1678632,12500,2709814,334
1691136,12504,2708187,333
1703636,12500,2692731,333
1716136,12500,2690309,333
1728640,12504,2688563,333
1741140,12500,2685427,331
1753640,12500,2684675,331
1766140,12500,2693717,332
1778644,12504,2738107,331
1791144,12500,2762380,330
1803648,12504,2766015,330
1816148,12500,2766194,331
1828648,12500,2766072,330
1841148,12500,2765934,329
1853652,12504,2766337,329
1866152,12500,2767064,329
1878652,12500,2768029,329
1891156,12504,2769009,328
1903656,12500,2769705,327
1916156,12500,2769121,328
1928660,12504,2768605,328
1941164,12504,2768339,326
1953664,12500,2768590,326
1966164,12500,2769387,327
1978664,12500,2770305,326
1991164,12500,2771011,325
2003668,12504,2771283,325
2016168,12500,2771205,326
2028672,12504,2770630,325
2041176,12504,2770473,324
2053676,12500,2770429,324
2066176,12500,2770837,325
2078676,12500,2771528,324
2091180,12504,2772010,323
2103680,12500,2772237,323
2116180,12500,2772248,324
2128680,12500,2771236,323
2141188,12508,2770962,322
2153688,12500,2771073,322
2166188,12500,2771549,323
2178688,12500,2772076,322
2191188,12500,2772449,321
2203688,12500,2772679,321
2216188,12500,2772540,322
2228688,12500,2772018,321
2241188,12500,2771418,320
2253688,12500,2771460,320
