Times (us),interval (us),strain (raw),sensorValue0 (raw)
66276,66276,2717966,518
78776,12500,2717956,518
91280,12504,2718397,517
103780,12500,2718341,517
116280,12500,2717990,518
128784,12504,2717708,518
141288,12504,2717741,518
153788,12500,2718023,517
166288,12500,2718075,517
178788,12500,2717768,517
191288,12500,2717595,517
203788,12500,2717649,517
216288,12500,2717741,517
228788,12500,2717678,517
241288,12500,2717658,517
253792,12504,2717802,517
266292,12500,2718053,517
278796,12504,2717806,517
291296,12500,2716610,517
303796,12500,2716496,518
316296,12500,2716819,517
328796,12500,2716792,517
341296,12500,2716392,517
353796,12500,2716132,518
366296,12500,2715946,517
378796,12500,2715624,517
391300,12504,2715330,518
403800,12500,2714627,518
416304,12504,2714759,518
428804,12500,2714691,517
441304,12500,2714360,517
453804,12500,2713800,517
466304,12500,2713421,517
478804,12500,2713677,518
491304,12500,2713393,517
503804,12500,2710361,517
516304,12500,2709894,517
528804,12500,2709761,517
541308,12504,2708821,517
553808,12500,2707592,517
566312,12504,2706452,517
578812,12500,2705102,517
591312,12500,2702791,517
603812,12500,2699837,517
616312,12500,2694854,517
628812,12500,2701578,517
641316,12504,2704319,517
653816,12500,2705221,517
666320,12504,2705609,517
678820,12500,2705257,517
691324,12504,2704721,517
703824,12500,2703358,517
716328,12504,2700084,519
728828,12500,2694693,517
741328,12500,2688882,517
753832,12504,2686077,517
766336,12504,2680122,517
778836,12500,2674446,517
791336,12500,2668417,517
803844,12508,2666673,517
816348,12504,2664287,517
828848,12500,2657186,517
841348,12500,2652097,517
853848,12500,2644071,517
866348,12500,2640932,517
878852,12504,2669291,517
891356,12504,2685182,517
903860,12504,2692703,517
916364,12504,2696212,517
928864,12500,2697889,517
941364,12500,2697568,517
953864,12500,2696237,516
966368,12504,2694476,517
978872,12504,2693832,517
991372,12500,2693020,516
1003872,12500,2692411,517
1016376,12504,2691841,517
1028876,12500,2691529,517
1041380,12504,2692252,517
1053880,12500,2694168,517
1066380,12500,2695895,517
1078884,12504,2696340,517
1091384,12500,2696384,518
1103884,12500,2696192,518
1116384,12500,2695883,517
1128884,12500,2695428,517
1141384,12500,2695223,517
1153884,12500,2695348,517
1166384,12500,2695108,517
1178884,12500,2694088,517
1191384,12500,2693338,517
1203884,12500,2693354,517
1216384,12500,2692989,517
1228884,12500,2692435,517
1241384,12500,2692614,517
1253884,12500,2692787,517
