Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,25.31,-0.01,3.98,0.10,0.00,3.98
1000,25.31,188.17,0.07,1882.00,128.00,0.26
1500,25.37,189.63,0.07,1896.30,128.00,0.26
2000,25.37,188.76,0.07,1887.60,134.00,0.26
2500,25.37,188.80,0.07,1888.30,128.00,0.26
3000,25.37,189.17,0.07,1891.80,138.00,0.26
3500,25.37,190.87,0.07,1906.90,132.00,0.26
4000,25.44,190.73,0.07,1907.20,132.00,0.26
4500,25.44,191.16,0.07,1912.50,138.00,0.26
5000,25.44,191.32,0.07,1912.70,132.00,0.26
5500,25.44,191.75,0.07,1917.40,138.00,0.26
6000,25.44,191.58,0.07,1915.60,138.00,0.26
6500,25.50,191.87,0.07,1917.90,138.00,0.26
7000,25.50,191.93,0.07,1919.50,138.00,0.26
7500,25.50,192.03,0.07,1920.30,138.00,0.26
8000,25.50,192.10,0.07,1920.70,138.00,0.26
8500,25.50,192.21,0.07,1921.30,138.00,0.26
9000,25.56,192.31,0.07,1923.00,138.00,0.26
9500,25.56,192.38,0.07,1923.60,138.00,0.26
10000,25.62,191.26,0.07,1912.50,138.00,0.26
10500,25.62,191.32,0.07,1913.30,138.00,0.26
11000,25.69,192.36,0.07,1922.90,138.00,0.26
11500,25.69,192.47,0.07,1924.70,138.00,0.26
12000,25.69,192.54,0.07,1925.80,132.00,0.26
12500,25.75,192.72,0.07,1927.30,138.00,0.26
13000,25.75,192.66,0.07,1926.80,138.00,0.26
13500,25.81,192.74,0.07,1927.40,138.00,0.26
14000,25.81,192.78,0.07,1927.50,138.00,0.26
14500,25.81,192.80,0.07,1927.90,132.00,0.26
15000,25.81,192.83,0.07,1928.20,138.00,0.26
15500,25.87,192.88,0.07,1928.70,138.00,0.26
16000,25.94,192.93,0.07,1929.20,138.00,0.26
16500,25.94,192.93,0.07,1929.50,132.00,0.26
17000,25.94,192.98,0.07,1929.60,138.00,0.26
17500,25.94,193.05,0.07,1930.70,138.00,0.27
18000,26.00,193.08,0.07,1930.60,138.00,0.26
18500,26.00,193.06,0.07,1930.80,138.00,0.26
19000,26.00,193.11,0.07,1931.20,138.00,0.27
19500,26.00,193.09,0.07,1930.90,138.00,0.27
20000,26.06,193.20,0.08,1931.80,132.00,0.27
20500,26.06,193.16,0.07,1931.50,138.00,0.27
21000,26.06,193.21,0.07,1932.10,138.00,0.27
21500,26.12,193.26,0.07,1932.60,138.00,0.27
22000,26.12,193.24,0.08,1932.20,138.00,0.27
22500,26.19,193.28,0.07,1932.90,138.00,0.27
23000,26.19,193.30,0.07,1933.20,132.00,0.27
23500,26.25,193.37,0.07,1933.90,132.00,0.27
24000,26.31,193.36,0.07,1933.80,138.00,0.27
24500,26.31,193.36,0.07,1933.60,138.00,0.27
25000,26.31,193.39,0.07,1934.00,138.00,0.27
25500,26.31,193.40,0.07,1934.40,138.00,0.27
26000,26.31,193.48,0.07,1934.90,140.00,0.27
26500,26.37,193.47,0.07,1934.50,148.00,0.27
27000,26.37,193.48,0.07,1934.50,140.00,0.27
27500,26.37,193.41,0.07,1934.60,140.00,0.27
28000,26.44,193.48,0.07,1934.60,138.00,0.26
28500,26.44,193.48,0.07,1934.90,132.00,0.27
29000,26.50,193.47,0.07,1934.60,148.00,0.27
29500,26.50,193.50,0.07,1935.10,140.00,0.27
30000,26.56,193.49,0.07,1935.00,132.00,0.27
30500,26.62,193.42,0.07,1934.20,138.00,0.27
31000,26.62,193.54,0.07,1935.20,132.00,0.27
31500,26.69,193.53,0.07,1935.30,140.00,0.27
32000,26.75,193.56,0.07,1936.10,140.00,0.27
32500,26.81,193.52,0.07,1935.70,140.00,0.27
33000,26.81,193.52,0.07,1935.30,140.00,0.27
33500,26.81,193.65,0.07,1936.60,140.00,0.27
34000,26.87,193.65,0.07,1936.50,140.00,0.27
34500,26.87,193.02,0.07,1930.00,138.00,0.27
35000,26.87,192.68,0.07,1926.90,132.00,0.26
35500,26.94,192.57,0.07,1926.20,138.00,0.26
36000,26.94,192.49,0.07,1925.10,138.00,0.26
36500,27.00,192.75,0.07,1927.30,138.00,0.26
37000,27.00,192.50,0.07,1924.90,138.00,0.26
37500,27.00,192.36,0.07,1923.40,138.00,0.26
38000,27.06,191.64,0.07,1916.40,138.00,0.26
38500,27.06,192.30,0.07,1923.00,138.00,0.26
39000,27.12,191.68,0.07,1915.90,138.00,0.26
39500,27.12,192.01,0.07,1919.40,138.00,0.26
40000,27.19,192.45,0.07,1924.50,138.00,0.26
40500,27.19,192.99,0.07,1929.50,138.00,0.26
41000,27.25,192.75,0.07,1927.50,138.00,0.26
41500,27.25,194.00,0.07,1940.30,148.00,0.27
42000,27.31,192.73,0.07,1923.30,138.00,0.26
42500,27.31,192.23,0.07,1922.30,132.00,0.26
43000,27.37,192.85,0.07,1928.30,138.00,0.26
43500,27.37,192.91,0.07,1929.10,138.00,0.26
44000,27.37,193.09,0.07,1931.00,138.00,0.27
44500,27.37,193.20,0.07,1932.20,138.00,0.27
45000,27.44,193.21,0.08,1932.30,138.00,0.27
45500,27.50,193.22,0.07,1932.50,138.00,0.26
46000,27.56,193.30,0.07,1933.10,138.00,0.27
46500,27.56,193.51,0.07,1935.10,140.00,0.27
47000,27.56,192.71,0.07,1927.10,138.00,0.26
47500,27.62,192.73,0.07,1927.40,138.00,0.26
48000,27.62,192.75,0.07,1927.60,138.00,0.26
48500,27.69,192.90,0.07,1929.10,138.00,0.26
49000,27.69,193.00,0.07,1929.20,138.00,0.27
49500,27.75,192.97,0.07,1930.50,132.00,0.26
50000,27.81,194.04,0.07,1937.00,132.00,0.27
50500,27.81,193.37,0.07,1933.50,138.00,0.27
51000,27.87,193.36,0.07,1933.40,138.00,0.27
51500,27.87,193.09,0.07,1931.00,138.00,0.27
52000,27.94,193.08,0.07,1931.20,138.00,0.27
52500,27.94,193.11,0.07,1931.10,138.00,0.27
53000,27.94,193.31,0.07,1938.80,140.00,0.27
53500,27.94,194.53,0.07,1945.80,140.00,0.27
54000,27.94,193.63,0.07,1943.50,140.00,0.27
54500,27.94,193.63,0.07,1936.20,148.00,0.27
55000,28.00,193.74,0.07,1937.30,140.00,0.27
55500,28.00,193.77,0.07,1937.30,140.00,0.27
56000,28.06,194.84,0.07,1947.90,140.00,0.27
56500,28.06,194.80,0.07,1948.20,140.00,0.27
57000,28.12,194.30,0.07,1943.30,140.00,0.27
57500,28.12,194.63,0.07,1947.40,148.00,0.27
58000,28.19,194.77,0.08,1947.70,140.00,0.27
