Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,25.19,0.00,3.98,-0.40,0.00,3.98
1000,25.19,158.93,0.06,1589.00,82.00,0.21
1500,25.19,159.49,0.06,1594.50,82.00,0.22
2000,25.19,160.01,0.05,1600.60,82.00,0.21
2500,25.19,160.94,0.06,1606.70,82.00,0.22
3000,25.19,161.38,0.05,1613.60,86.00,0.21
3500,25.19,162.40,0.06,1623.70,92.00,0.22
4000,25.19,162.66,0.06,1626.90,92.00,0.22
4500,25.19,162.02,0.05,1622.30,92.00,0.21
5000,25.19,163.52,0.06,1635.10,92.00,0.22
5500,25.25,163.66,0.06,1638.30,92.00,0.22
6000,25.25,163.82,0.06,1637.90,92.00,0.22
6500,25.25,164.24,0.06,1642.10,92.00,0.22
7000,25.31,164.09,0.05,1641.10,92.00,0.22
7500,25.25,164.54,0.06,1645.10,92.00,0.22
8000,25.25,164.66,0.06,1646.50,92.00,0.22
8500,25.31,165.14,0.06,1651.90,92.00,0.22
9000,25.31,165.19,0.06,1652.70,92.00,0.23
9500,25.31,165.36,0.06,1652.80,98.00,0.22
10000,25.31,165.96,0.06,1656.60,92.00,0.22
10500,25.31,165.56,0.06,1658.30,92.00,0.22
11000,25.31,165.75,0.06,1657.10,92.00,0.23
11500,25.31,165.75,0.06,1657.50,92.00,0.22
12000,25.31,166.04,0.06,1660.80,98.00,0.23
12500,25.31,165.36,0.06,1653.00,98.00,0.23
13000,25.37,165.20,0.06,1654.50,92.00,0.23
13500,25.37,165.38,0.06,1669.80,102.00,0.22
14000,25.37,164.81,0.06,1644.60,92.00,0.22
14500,25.37,166.96,0.06,1668.80,96.00,0.23
15000,25.37,167.22,0.06,1668.40,102.00,0.22
15500,25.37,166.71,0.06,1667.20,102.00,0.22
16000,25.37,166.84,0.06,1669.10,96.00,0.23
16500,25.44,167.26,0.06,1667.90,102.00,0.23
17000,25.44,166.77,0.06,1667.10,102.00,0.23
17500,25.44,167.89,0.06,1680.10,96.00,0.23
18000,25.44,167.71,0.06,1677.30,102.00,0.23
18500,25.44,165.12,0.06,1665.00,98.00,0.23
19000,25.44,166.00,0.06,1657.20,92.00,0.22
19500,25.44,166.86,0.06,1669.00,102.00,0.23
20000,25.44,166.98,0.06,1670.10,102.00,0.23
20500,25.50,166.60,0.06,1665.90,92.00,0.22
21000,25.44,167.29,0.06,1673.50,102.00,0.22
21500,25.44,168.81,0.06,1688.80,102.00,0.23
22000,25.44,168.31,0.06,1683.00,102.00,0.23
22500,25.44,167.77,0.06,1673.80,102.00,0.23
23000,25.44,166.14,0.06,1664.30,92.00,0.23
23500,25.44,167.21,0.06,1669.20,96.00,0.23
24000,25.50,166.57,0.06,1665.50,98.00,0.22
24500,25.50,166.96,0.06,1669.90,96.00,0.22
25000,25.50,167.76,0.06,1677.70,96.00,0.22
25500,25.50,167.53,0.06,1674.90,96.00,0.23
26000,25.50,167.77,0.06,1677.10,102.00,0.23
26500,25.56,167.50,0.06,1675.20,102.00,0.23
27000,25.56,166.35,0.06,1664.70,92.00,0.22
27500,25.56,167.23,0.06,1674.20,102.00,0.23
28000,25.56,172.02,0.06,1720.20,112.00,0.23
28500,25.56,170.32,0.06,1702.10,102.00,0.23
29000,25.56,170.53,0.06,1706.90,102.00,0.23
29500,25.56,169.99,0.06,1701.80,96.00,0.23
30000,25.56,169.95,0.06,1699.70,102.00,0.23
30500,25.56,170.23,0.06,1702.00,96.00,0.23
31000,25.56,170.38,0.06,1703.60,96.00,0.23
31500,25.56,170.49,0.06,1704.60,102.00,0.23
32000,25.56,170.74,0.06,1707.40,102.00,0.23
32500,25.56,170.57,0.06,1706.40,102.00,0.23
33000,25.56,170.58,0.06,1705.90,102.00,0.23
33500,25.56,170.54,0.06,1705.40,102.00,0.23
34000,25.56,170.68,0.06,1706.60,102.00,0.23
34500,25.56,170.62,0.06,1706.50,102.00,0.23
35000,25.56,170.75,0.06,1707.80,102.00,0.23
35500,25.56,170.81,0.06,1708.10,102.00,0.23
36000,25.56,170.65,0.06,1706.50,102.00,0.23
36500,25.62,170.68,0.06,1706.20,102.00,0.23
37000,25.62,170.66,0.06,1706.90,102.00,0.23
37500,25.62,170.73,0.06,1707.00,102.00,0.23
38000,25.62,170.80,0.06,1707.60,102.00,0.23
38500,25.69,170.58,0.06,1705.70,96.00,0.23
39000,25.69,170.80,0.06,1707.60,102.00,0.23
39500,25.69,170.85,0.06,1708.10,102.00,0.23
40000,25.69,170.69,0.06,1706.80,108.00,0.23
40500,25.69,170.74,0.06,1707.20,102.00,0.23
41000,25.69,170.90,0.06,1709.20,102.00,0.23
41500,25.69,170.85,0.06,1708.80,102.00,0.23
42000,25.69,171.01,0.06,1710.40,102.00,0.23
42500,25.69,170.93,0.06,1709.40,102.00,0.23
43000,25.69,170.91,0.06,1709.20,102.00,0.23
43500,25.69,170.90,0.06,1708.80,102.00,0.23
44000,25.69,170.82,0.06,1707.90,102.00,0.23
44500,25.69,171.10,0.06,1711.20,102.00,0.23
45000,25.69,171.02,0.06,1710.30,102.00,0.23
45500,25.75,171.15,0.06,1711.30,102.00,0.23
46000,25.75,171.05,0.06,1710.40,102.00,0.23
46500,25.75,171.13,0.06,1711.30,102.00,0.23
47000,25.75,171.28,0.06,1712.70,102.00,0.23
47500,25.81,171.32,0.06,1713.20,102.00,0.23
48000,25.81,171.55,0.06,1715.60,102.00,0.23
48500,25.81,171.56,0.06,1715.50,112.00,0.23
49000,25.81,171.84,0.06,1718.10,102.00,0.23
49500,25.81,171.90,0.06,1718.80,102.00,0.23
