0,-0.02,3.98,-0.30,0.00,3.98
92000,27.00,-0.02,3.98,0.00,0.00,3.98
92500,27.00,-0.01,3.98,0.10,0.00,3.98
.00,3.99
91500,27.00,-0.02,3.98,-0.30,0.00,3.98
92000,27.00,-0.02,3.98,0.00,0.00,3.98
92500,27.00,-0.01,3.98,0.10,0.00,3.98
Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,27.00,-0.02,3.98,-0.10,0.00,3.98
1000,27.00,0.01,3.99,0.10,0.00,3.99
1500,27.06,-0.01,3.98,-0.30,0.00,3.98
2000,27.06,-0.01,3.98,-0.30,0.00,3.98
2500,27.00,-0.02,3.98,0.00,0.00,3.98
3000,27.00,-0.03,3.99,0.00,0.00,3.99
3500,27.00,-0.04,3.99,0.10,0.00,3.99
4000,27.00,0.00,3.98,-0.10,0.00,3.98
4500,27.06,0.00,3.98,-0.10,0.00,3.98
5000,27.00,-0.01,3.98,0.00,0.00,3.98
5500,27.00,-0.01,3.98,-0.20,0.00,3.98
6000,27.00,-0.02,3.98,-0.10,0.00,3.98
6500,27.06,-0.01,3.99,-0.10,0.00,3.99
7000,27.06,-0.04,3.99,0.00,0.00,3.99
7500,27.06,-0.01,3.98,-0.20,0.00,3.98
8000,27.00,-0.03,3.99,-0.20,0.00,3.99
8500,27.00,-0.03,3.98,-0.10,0.00,3.98
9000,27.00,0.00,3.98,-0.20,0.00,3.98
9500,27.00,0.00,3.98,0.00,0.00,3.98
10000,27.00,-0.01,3.99,0.00,0.00,3.99
10500,27.00,-0.03,3.98,-0.20,0.00,3.98
11000,27.00,0.00,3.98,0.00,0.00,3.98
11500,27.00,0.00,3.99,-0.20,0.00,3.99
12000,27.00,-0.02,3.98,-0.20,0.00,3.98
12500,27.00,0.01,3.98,0.00,0.00,3.98
13000,27.00,-0.01,3.98,0.30,0.00,3.98
13500,27.00,-0.01,3.99,-0.20,0.00,3.99
14000,27.00,0.00,3.98,-0.40,0.00,3.98
14500,27.00,0.01,3.98,-0.20,0.00,3.98
15000,27.00,-0.03,3.98,-0.40,0.00,3.98
15500,27.00,-0.01,3.98,-0.10,0.00,3.98
16000,27.00,-0.01,3.98,0.00,0.00,3.98
16500,27.00,0.03,3.99,0.00,0.00,3.99
17000,27.00,-0.01,3.98,-0.10,0.00,3.98
17500,27.00,-0.03,3.98,0.10,0.00,3.98
18000,27.00,-0.04,3.98,0.00,0.00,3.98
18500,27.00,0.00,3.98,-0.10,0.00,3.98
19000,27.00,-0.01,3.98,0.00,0.00,3.98
19500,27.00,-0.02,3.98,-0.30,0.00,3.98
20000,27.00,-0.02,3.98,-0.20,0.00,3.98
20500,27.00,-0.01,3.98,-0.20,0.00,3.98
21000,27.00,0.00,3.98,-0.10,0.00,3.98
21500,27.00,-0.01,3.99,-0.10,0.00,3.99
22000,27.06,-0.01,3.98,0.00,0.00,3.98
22500,27.06,0.01,3.98,-0.10,0.00,3.98
23000,27.00,-0.01,3.98,0.10,0.00,3.98
23500,27.00,0.00,3.98,-0.10,0.00,3.98
24000,27.00,-0.02,3.98,-0.10,0.00,3.98
24500,27.06,0.01,3.98,-0.20,0.00,3.98
25000,27.00,-0.01,3.98,-0.20,0.00,3.98
25500,27.00,0.00,3.98,-0.30,0.00,3.98
26000,27.00,-0.02,3.99,-0.30,0.00,3.99
26500,27.00,0.00,3.98,-0.20,0.00,3.98
27000,27.00,-0.02,3.98,0.00,0.00,3.98
27500,27.00,-0.01,3.99,-0.30,0.00,3.99
28000,27.00,-0.01,3.98,0.10,0.00,3.98
28500,27.00,-0.01,3.99,-0.10,0.00,3.99
29000,27.00,-0.02,3.98,-0.10,0.00,3.98
29500,27.00,-0.02,3.98,-0.10,0.00,3.98
30000,27.00,-0.01,3.98,-0.10,0.00,3.98
30500,27.00,-0.03,3.98,0.10,0.00,3.98
31000,27.00,-0.04,3.98,0.00,0.00,3.98
31500,27.00,0.00,3.98,0.10,0.00,3.98
32000,27.00,-0.01,3.98,-0.10,0.00,3.98
32500,27.00,-0.02,3.98,-0.10,0.00,3.98
33000,27.00,0.00,3.98,0.00,0.00,3.98
33500,27.00,-0.01,3.98,-0.10,0.00,3.98
34000,27.00,-0.02,3.98,0.00,0.00,3.98
34500,27.00,-0.03,3.99,0.00,0.00,3.99
35000,27.00,-0.02,3.98,-0.10,0.00,3.98
35500,27.00,0.02,3.98,0.00,0.00,3.98
36000,27.00,0.00,3.98,-0.10,0.00,3.98
36500,26.94,-0.02,3.99,0.00,0.00,3.99
37000,27.00,-0.02,3.98,-0.30,0.00,3.98
37500,27.00,0.00,3.99,-0.20,0.00,3.99
38000,26.94,-0.01,3.98,-0.40,0.00,3.98
