Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,26.75,0.00,3.99,-0.10,0.00,3.99
1000,26.75,-0.04,3.98,-0.10,0.00,3.98
1500,26.75,-0.01,3.98,-0.10,0.00,3.98
2000,26.75,-0.01,3.99,-0.30,0.00,3.99
2500,26.75,-0.02,3.99,0.00,0.00,3.99
3000,26.75,-0.02,3.98,-0.20,0.00,3.98
3500,26.75,0.00,3.98,-0.30,0.00,3.98
4000,26.75,-0.01,3.99,-0.10,0.00,3.99
4500,26.75,0.01,3.98,-0.30,0.00,3.98
5000,26.69,-0.01,3.99,-0.10,0.00,3.99
5500,26.75,-0.02,3.99,-0.20,0.00,3.99
6000,26.75,-0.02,3.98,0.00,0.00,3.98
6500,26.75,0.02,3.98,0.10,0.00,3.98
7000,26.69,-0.01,3.98,-0.20,0.00,3.98
7500,26.75,0.00,3.99,-0.20,0.00,3.99
8000,26.69,-0.02,3.99,-0.20,0.00,3.99
8500,26.69,-0.02,3.98,0.20,0.00,3.98
9000,26.69,0.02,3.98,-0.30,0.00,3.98
9500,26.69,0.00,3.98,-0.10,0.00,3.98
10000,26.69,0.00,3.98,0.00,0.00,3.98
10500,26.69,-0.01,3.98,-0.20,0.00,3.98
11000,26.75,-0.01,3.99,-0.40,0.00,3.99
11500,26.69,-0.04,3.98,-0.20,0.00,3.98
12000,26.69,-0.02,3.98,-0.20,0.00,3.98
12500,26.69,-0.01,3.98,0.00,0.00,3.98
13000,26.69,-0.01,3.98,-0.10,0.00,3.98
13500,26.69,-0.02,3.98,0.00,0.00,3.98
14000,26.69,-0.01,3.98,-0.10,0.00,3.98
14500,26.75,-0.02,3.98,-0.10,0.00,3.98
15000,26.69,-0.01,3.98,-0.10,0.00,3.98
15500,26.69,-0.02,3.98,-0.10,0.00,3.98
16000,26.75,-0.01,3.98,-0.10,0.00,3.98
16500,26.75,-0.01,3.98,-0.10,0.00,3.98
17000,26.75,-0.01,3.99,0.00,0.00,3.99
17500,26.69,-0.04,3.99,-0.20,0.00,3.99
18000,26.69,0.00,3.98,0.10,0.00,3.98
18500,26.69,-0.01,3.98,-0.20,0.00,3.98
