Times (us),interval (us),strain (raw),sensorValue0 (raw)
66004,66004,2738298,396
78504,12500,2738369,396
91004,12500,2738116,394
103504,12500,2737832,392
116004,12500,2737885,392
128508,12504,2738105,392
141012,12504,2738069,391
153512,12500,2737876,389
166012,12500,2737945,389
178512,12500,2737888,389
191012,12500,2738044,388
203512,12500,2738150,387
216012,12500,2738070,386
228512,12500,2737911,387
241012,12500,2737940,386
253516,12504,2738066,384
266016,12500,2738202,384
278516,12500,2737984,384
291020,12504,2737900,383
303520,12500,2738007,382
316024,12504,2737954,381
328524,12500,2738103,382
341028,12504,2738193,381
353532,12504,2738151,379
366032,12500,2738070,379
378536,12504,2737840,379
391036,12500,2738147,379
403540,12504,2738239,377
416040,12500,2738121,377
428544,12504,2737991,377
441044,12500,2737962,376
453544,12500,2738018,375
466044,12500,2737882,374
478544,12500,2737912,375
491048,12504,2737756,374
503552,12504,2738227,373
516052,12500,2738091,372
528552,12500,2737948,373
541052,12500,2738016,372
553556,12504,2738080,370
566056,12500,2738128,370
578556,12500,2738095,371
591060,12504,2738067,370
603564,12504,2738107,368
616068,12504,2738202,368
628572,12504,2738008,368
641072,12500,2737813,368
653576,12504,2737930,366
666080,12504,2737981,366
678584,12504,2737918,366
691084,12500,2737919,366
703588,12504,2738000,364
716088,12500,2738279,364
728592,12504,2738024,364
741092,12500,2738055,364
753592,12500,2738171,362
766092,12500,2738201,362
778592,12500,2738244,362
791092,12500,2738140,362
803596,12504,2737987,360
816096,12500,2738081,360
828600,12504,2737944,360
841100,12500,2737967,360
853604,12504,2738097,358
866104,12500,2738068,358
878604,12500,2738092,359
891108,12504,2737920,358
903608,12500,2738045,357
916108,12500,2738186,356
928608,12500,2738188,357
941108,12500,2738152,356
953608,12500,2738496,355
966112,12504,2751427,354
978612,12500,2801125,355
991116,12504,2866170,354
1003616,12500,2915931,353
1016116,12500,2945369,353
1028616,12500,2954592,353
1041116,12500,2916586,353
1053616,12500,2873698,351
1066116,12500,2819635,351
1078616,12500,2767222,352
1091120,12504,2735048,351
1103620,12500,2735736,350
1116124,12504,2768480,349
1128624,12500,2819612,350
1141128,12504,2870696,349
1153628,12500,2931296,348
1166132,12504,2936870,348
1178636,12504,2926046,348
1191136,12500,2900116,348
1203636,12500,2861554,346
1216136,12500,2815327,346
1228636,12500,2774057,347
1241140,12504,2752120,346
1253644,12504,2757612,345
1266144,12500,2831398,344
1278648,12504,2873371,345
1291148,12500,2903986,345
1303652,12504,2920542,343
1316156,12504,2922600,343
1328656,12500,2910326,344
1341160,12504,2885128,343
1353660,12500,2850100,342
1366160,12500,-437404,341
1388692,22532,2776709,341
1401192,12500,2805002,340
1413692,12500,2842211,341
1426192,12500,2876348,341
1438692,12500,2900554,340
1451192,12500,2912146,339
1463692,12500,2910547,339
1476196,12504,2896117,339
1488696,12500,2871373,338
1501196,12500,2808401,337
1513696,12500,2786721,338
1526200,12504,2781432,338
1538700,12500,2794201,337
1551204,12504,2820185,336
1563708,12504,2850690,336
1576212,12504,2877308,336
1588712,12500,2894941,335
1601212,12500,2901918,334
1613716,12504,2883362,335
1626216,12500,2860635,335
1638716,12500,2833749,334
1651220,12504,2809186,333
1663720,12500,2794399,333
1676220,12500,2793690,334
1688720,12500,2807535,333
1701220,12500,2831113,332
1713720,12500,2877999,332
1726220,12500,2890884,332
1738720,12500,2893879,331
1751220,12500,2887037,330
1763724,12504,2872167,331
1776224,12500,2851270,331
1788724,12500,2828517,330
1801224,12500,2810210,329
1813724,12500,2801762,329
1826224,12500,2820154,330
1838728,12504,2840828,329
1851228,12500,2861352,328
1863732,12504,2877050,328
1876232,12500,2885429,329
1888736,12504,2885456,328
1901240,12504,2877391,327
1913740,12500,2862791,327
1926240,12500,2844144,328
1938740,12500,2812768,327
1951240,12500,2808900,326
1963740,12500,2815504,326
1976240,12500,2830411,327
1988740,12500,2848475,326
2001244,12504,2864879,325
2013748,12504,2876271,325
2026252,12504,2880596,326
2038752,12500,-869324,325
2061248,22496,2837257,325
2073748,12500,2823469,325
2086248,12500,2816030,323
2098752,12504,2816989,323
2111252,12500,2825817,324
2123752,12500,2839529,323
2136252,12500,2854280,322
2148752,12500,2866393,322
2161252,12500,2873590,323
2173752,12500,2870035,322
2186256,12504,2860259,321
2198760,12504,2847141,321
2211260,12500,2834219,322
2223764,12504,2824658,321
2236264,12500,2821058,320
2248768,12504,2824483,320
2261272,12504,2833666,321
2273772,12500,2845865,320
2286272,12500,2866450,319
2298772,12500,2870377,319
2311272,12500,2869103,320
2323772,12500,2862883,319
2336276,12504,2852955,318
2348776,12500,2841817,318
2361276,12500,2832175,319
2373780,12504,2826390,318
2386280,12500,2831314,317
2398784,12504,2840429,317
2411284,12500,2850810,318
2423784,12500,2859784,317
2436284,12500,2865517,316
2448784,12500,2866784,316
2461288,12504,2863631,317
2473788,12500,2856747,316
2486288,12500,2847765,315
2498788,12500,2831950,315
2511288,12500,2829198,316
2523788,12500,2831323,315
2536288,12500,2837432,314
2548792,12504,2845819,314
2561292,12500,2854235,315
2573792,12500,2860558,314
2586296,12504,2863689,313
2598796,12500,2862837,313
2611296,12500,2851360,314
2623796,12500,2843614,313
2636296,12500,2836905,312
2648796,12500,2832968,312
2661296,12500,2832597,313
2673796,12500,2836121,312
2686296,12500,2842577,311
2698796,12500,2849723,311
2711296,12500,2856070,312
2723796,12500,2861141,312
2736296,12500,2858655,310
2748800,12504,2853652,310
2761300,12500,2847193,311
2773804,12504,2840962,311
2786308,12504,2836386,310
2798812,12504,2834820,309
2811316,12504,2836560,310
2823816,12500,2846908,310
2836316,12500,2852745,309
2848816,12500,2857108,309
2861316,12500,2858887,310
2873816,12500,2857907,309
2886316,12500,2854412,308
2898816,12500,2849360,308
2911320,12504,2844169,309
2923824,12504,2839733,309
2936324,12500,2837429,307
2948824,12500,2840119,307
2961324,12500,2844556,308
2973824,12500,2849463,308
2986324,12500,2853837,307
2998824,12500,2856398,307
3011328,12504,2856909,308
3023828,12500,2855008,307
3036328,12500,2851350,306
3048828,12500,2842481,306
3061328,12500,2839599,307
3073828,12500,2838904,307
3086328,12500,2840377,305
3098828,12500,2843443,305
3111328,12500,2847629,306
3123828,12500,2851657,306
3136332,12504,2854428,305
3148832,12500,2854549,305
3161332,12500,2851880,306
3173832,12500,2848375,305
3186336,12504,2844628,304
3198836,12500,2841735,304
3211336,12500,2840354,305
3223836,12500,2840859,305
3236336,12500,2843058,303
3248836,12500,2846379,303
3261340,12504,2852534,304
3273844,12504,2853916,304
3286344,12500,2853814,303
3298844,12500,2852209,303
3311344,12500,2849431,304
3323848,12504,2846417,303
3336352,12504,2843569,302
3348852,12500,2841876,302
3361352,12500,2841662,303
3373852,12500,2845540,303
3386352,12500,2848401,301
3398856,12504,2851052,301
3411356,12500,2852918,302
3423856,12500,2853336,302
3436356,12500,2852240,301
3448856,12500,2850247,301
3461360,12504,2847770,302
3473860,12500,2843422,302
3486360,12500,2842649,300
3498860,12500,2843187,300
3511360,12500,2844828,301
3523864,12504,2847088,301
3536364,12500,2849332,300
3548864,12500,2851208,300
3561364,12500,2851906,301
3573864,12500,2851750,301
3586368,12504,2848718,299
3598872,12504,2846536,299
3611376,12504,2844654,300
3623876,12500,2843560,300
3636376,12500,2843573,299
3648880,12504,2844563,299
3661380,12500,2846401,300
3673880,12500,2848354,300
3686384,12504,2850075,298
3698888,12504,2851329,298
3711388,12500,2850562,299
3723888,12500,2849281,299
3736388,12500,2847600,298
3748892,12504,2845826,298
3761392,12500,2844802,299
3773892,12500,2844534,299
3786396,12504,2844923,297
3798896,12500,2847707,297
3811396,12500,2849134,298
3823896,12500,2850227,298
3836400,12504,2850672,297
3848900,12500,2850442,297
3861404,12504,2849611,298
3873904,12500,2848222,298
3886408,12504,2846688,296
3898908,12500,2845442,296
3911408,12500,2844958,297
3923912,12504,2845762,297
3936412,12500,2847012,296
3948912,12500,2848346,296
3961412,12500,2849534,297
3973912,12500,2850254,297
3986412,12500,2850279,296
3998912,12500,2849875,295
4011412,12500,2848770,296
4023912,12500,2846247,296
4036412,12500,2845432,295
4048916,12504,2845118,295
4061416,12500,2845591,296
4073916,12500,2846488,296
4086416,12500,2847796,295
4098916,12500,2849145,295
4111416,12500,2849916,296
4123916,12500,2849878,296
4136416,12500,2849093,294
4148916,12500,2847791,294
4161416,12500,2846817,295
4173916,12500,2846130,295
4186420,12504,2845716,294
4198920,12500,2845826,294
4211424,12504,2846632,295
4223924,12500,2847711,295
4236424,12500,2849239,294
4248924,12500,2849520,294
4261424,12500,2849592,295
4273924,12500,2849010,295
4286424,12500,2848114,294
4298924,12500,2847281,293
4311424,12500,2846605,294
4323924,12500,2846207,294
4336428,12504,2846173,293
4348936,12508,2847134,293
4361436,12500,2848026,294
4373936,12500,2848676,294
4386440,12504,2848994,293
4398940,12500,2849030,293
4411440,12500,2848818,294
4423940,12500,2848272,294
4436440,12500,2847850,293
4448940,12500,-959610,292
4471468,22528,2846726,293
4483972,12504,2846953,292
4496476,12504,2847484,293
4508980,12504,2847938,293
4521480,12500,2848457,293
4533980,12500,2848868,292
4546480,12500,2849115,293
4558984,12504,2848952,293
4571484,12500,2848374,292
4583984,12500,2847080,292
4596488,12504,2846671,292
4608992,12504,2846593,293
4621492,12500,2846592,292
4633996,12504,2846951,291
4646496,12500,2847753,292
4658996,12500,2848275,292
4671496,12500,2848455,292
4683996,12500,2848798,291
4696500,12504,2848480,292
4709000,12500,2847895,292
4721500,12500,2847448,291
4734000,12500,2847128,291
4746504,12504,2847077,291
4759004,12500,2847060,292
4771504,12500,2847144,291
4784004,12500,2847581,290
4796508,12504,-435278,291
4819012,22504,2848488,290
4831516,12504,2848390,290
4844016,12500,2848278,291
4856520,12504,2847814,291
4869020,12500,2847434,290
4881520,12500,2847229,290
4894024,12504,2847017,291
4906524,12500,2846998,291
4919024,12500,2847429,290
4931528,12504,2848195,290
4944028,12500,2848650,291
4956528,12500,2848978,291
4969032,12504,2848901,290
4981532,12500,2848545,290
4994032,12500,2848121,291
5006536,12504,2847535,291
5019036,12500,2847088,290
5031536,12500,2846929,290
5044036,12500,2847144,291
5056540,12504,2847602,291
5069044,12504,2848005,289
5081544,12500,2848393,289
5094048,12504,2848759,290
