"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.664166339E-4,-8.777746582E-1,6.606212311E0,7.420369263E0,9.973685850E0
1.013641665E-2,-7.156617737E-1,6.666836243E0,6.998396759E0,9.692081018E0
2.010641666E-2,-7.536827087E-1,6.716233521E0,6.818770294E0,9.600596786E0
3.007541643E-2,-8.346643066E-1,6.713239746E0,6.900350647E0,9.663285748E0
4.004541645E-2,-8.858578491E-1,6.670428772E0,7.122937775E0,9.798755363E0
5.001541646E-2,-8.300239563E-1,6.640341339E0,7.345075836E0,9.936458721E0
5.998441670E-2,-7.090754700E-1,6.607110443E0,7.475754089E0,1.000217954E1
6.995441625E-2,-4.460723877E-1,6.564449158E0,7.513475647E0,9.987156233E0
7.992441626E-2,-3.531156921E-1,6.459517365E0,7.461084595E0,9.875112081E0
8.989441628E-2,-3.571572876E-1,6.288273468E0,7.294481049E0,9.637395826E0
9.986341652E-2,-3.345542908E-1,6.114335175E0,7.155420227E0,9.417911649E0
1.098334165E-1,-2.418969727E-1,5.936654663E0,7.156767426E0,9.301704291E0
1.198034999E-1,-3.712280273E-2,5.794450378E0,7.173382874E0,9.221412860E0
1.297724997E-1,1.270857239E-1,5.627547455E0,7.181166687E0,9.124395658E0
1.397424997E-1,1.983375549E-1,5.444328461E0,7.250322876E0,9.069025966E0
1.497124997E-1,2.430944824E-1,5.306614838E0,7.409142609E0,9.116723653E0
1.596814999E-1,3.076103210E-1,5.276826782E0,7.496560822E0,9.172674046E0
1.696514999E-1,2.859054565E-1,5.268144836E0,7.448810120E0,9.127971524E0
1.796215000E-1,1.121168518E-1,5.177732849E0,7.448510742E0,9.072033946E0
1.895904997E-1,1.993853760E-1,5.289101257E0,7.271129608E0,8.993535035E0
1.995604998E-1,3.977229309E-1,5.254822540E0,7.217091980E0,8.936316921E0
2.095304998E-1,5.484594727E-1,5.118156738E0,7.204817505E0,8.854701094E0
2.194995000E-1,6.650669861E-1,5.015021210E0,7.240892487E0,8.833078503E0
2.294695000E-1,8.373587036E-1,4.882397003E0,7.320526886E0,8.839065787E0
2.394395000E-1,1.076112213E0,4.836592255E0,7.411687317E0,8.915366006E0
2.494084998E-1,1.153501282E0,4.839885406E0,7.578590240E0,9.065874805E0
2.593784998E-1,1.257984009E0,4.928201752E0,7.733218689E0,9.255936882E0
2.693484998E-1,1.394051056E0,5.077142029E0,7.877817993E0,9.475271282E0
2.793174996E-1,1.507066040E0,5.159470825E0,8.139024811E0,9.753722987E0
2.892874996E-1,1.319655762E0,5.090164948E0,8.493338013E0,9.989397435E0
2.992574996E-1,1.110690308E0,4.824317780E0,8.613088989E0,9.934433901E0
3.092274996E-1,9.723779297E-1,4.550537109E0,8.648116150E0,9.820530524E0
3.191964999E-1,1.261726227E0,4.577630768E0,8.558302917E0,9.787298164E0
3.291664999E-1,1.696422272E0,4.631967773E0,8.339158630E0,9.688887482E0
3.391364999E-1,2.006726990E0,4.822072449E0,8.171956329E0,9.698464114E0
3.491054997E-1,2.016007690E0,4.737947388E0,8.018375702E0,9.529259224E0
3.590754997E-1,1.608704681E0,4.583917694E0,7.952812042E0,9.319198010E0
3.690454997E-1,1.525777130E0,4.709356842E0,7.847880249E0,9.278753263E0
3.790145000E-1,1.524429932E0,4.442461853E0,7.766898651E0,9.076567005E0
3.889845000E-1,1.480271759E0,4.028273163E0,7.671846313E0,8.790643606E0
3.989545000E-1,1.516346741E0,3.712879028E0,7.956105194E0,8.909791691E0
4.089234998E-1,1.691183167E0,3.564238129E0,8.512797546E0,9.382516507E0
4.188934998E-1,1.808090057E0,3.562741241E0,8.519234161E0,9.409551823E0
4.288634998E-1,1.779948578E0,3.476520538E0,8.699609070E0,9.536121327E0
4.388325000E-1,1.689686279E0,2.996768188E0,8.767118683E0,9.417963118E0
4.488025000E-1,2.012415161E0,2.565514984E0,8.440048828E0,9.047989066E0
4.587724996E-1,2.366728363E0,2.328557739E0,8.181386719E0,8.829420872E0
