"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.435625091E-3,-1.084644470E0,-1.214125214E0,1.127859604E1,1.139549395E1
1.547262503E-2,-8.601113892E-1,-8.649014282E-1,1.122306152E1,1.128915214E1
2.551062498E-2,-4.080514526E-1,-2.636018372E-1,1.127874573E1,1.128920268E1
3.554862505E-2,-2.347119141E-1,9.684860229E-2,1.106663681E1,1.106954921E1
4.558562499E-2,-3.297642517E-1,2.411485291E-1,1.056517960E1,1.057307510E1
5.562362506E-2,-4.450245667E-1,3.400927734E-1,1.004351440E1,1.005911982E1
6.566162501E-2,-4.706213379E-1,4.767585754E-1,9.766590271E0,9.789538738E0
7.569862506E-2,-3.716770935E-1,5.050497437E-1,9.556127930E0,9.576680015E0
8.573662501E-2,-1.660047913E-1,3.686833191E-1,9.429940338E0,9.438604757E0
9.577462508E-2,3.293151855E-2,2.570155334E-1,9.401649170E0,9.405219220E0
1.058116250E-1,1.658551025E-1,1.624122620E-1,9.497449951E0,9.500286376E0
1.158496251E-1,2.121089172E-1,-7.634124756E-3,9.669442291E0,9.671771435E0
1.258866250E-1,2.043251038E-1,-1.279838562E-1,9.833351440E0,9.836306683E0
1.359246251E-1,2.299218750E-1,-8.382568359E-2,9.978998566E0,9.981998958E0
1.459626250E-1,2.625540161E-1,-1.841171265E-2,1.004815475E1,1.005160124E1
1.559996250E-1,2.338137817E-1,1.751358032E-2,1.011087433E1,1.011359260E1
1.660376251E-1,1.923500061E-1,2.484832764E-2,1.013272888E1,1.013458487E1
1.760756250E-1,1.338217163E-1,8.083190918E-3,1.016655853E1,1.016744245E1
1.861126251E-1,8.711883545E-2,-3.158432007E-2,1.023167313E1,1.023209276E1
1.961506250E-1,1.122665405E-1,-9.415420532E-2,1.021445892E1,1.021550977E1
2.061886251E-1,1.242416382E-1,-1.032852173E-1,1.024050476E1,1.024177922E1
2.162256250E-1,1.408570862E-1,-6.765930176E-2,1.021820114E1,1.021939592E1
2.262636251E-1,1.552272034E-1,-2.395019531E-2,1.019724472E1,1.019845424E1
2.363006250E-1,9.205856323E-2,8.801696777E-2,1.016581009E1,1.016660792E1
2.463386251E-1,5.194198608E-2,2.243833923E-1,1.001642075E1,1.001906834E1
2.563766250E-1,-3.996688843E-2,3.647914124E-1,9.864187317E0,9.871011172E0
2.664136250E-1,-1.724414062E-1,4.260140991E-1,9.719737701E0,9.730597363E0
2.764516250E-1,-2.770738220E-1,4.487667847E-1,9.518406372E0,9.533006944E0
2.864896250E-1,-3.362008667E-1,4.176315308E-1,9.439370728E0,9.454584436E0
2.965266251E-1,-3.022215271E-1,3.453318787E-1,9.360484772E0,9.371727008E0
3.065646250E-1,-2.127076721E-1,2.917433167E-1,9.364226990E0,9.371184868E0
3.166026251E-1,-1.612147522E-1,2.851570129E-1,9.433383179E0,9.439068964E0
3.266396250E-1,-9.999206543E-2,2.670446777E-1,9.480385437E0,9.484672862E0
3.366776251E-1,-7.155120850E-2,2.881507874E-1,9.573641510E0,9.578244214E0
3.467146250E-1,-5.957611084E-2,3.489244080E-1,9.595346375E0,9.601873234E0
3.567526251E-1,-1.092727661E-2,4.138893127E-1,9.560319214E0,9.569280393E0
3.667911250E-1,-8.008346558E-2,4.787045288E-1,9.552086334E0,9.564409272E0
3.768281251E-1,-1.465452576E-1,5.017565918E-1,9.452094269E0,9.466536920E0
3.868661250E-1,-2.158511353E-1,5.023553467E-1,9.442065125E0,9.457882766E0
3.969041250E-1,-3.115022278E-1,4.616400146E-1,9.525142365E0,9.541408817E0
4.069411251E-1,-5.016069031E-1,3.866459656E-1,9.622739410E0,9.643558386E0
4.169791250E-1,-5.752537537E-1,3.335064697E-1,9.781110077E0,9.803685928E0
4.270171251E-1,-5.635780334E-1,4.041595459E-1,9.913584595E0,9.937812871E0
4.370541250E-1,-5.872288513E-1,5.388793945E-1,1.002809647E1,1.005971905E1
4.470921251E-1,-6.206094360E-1,6.497987366E-1,9.990374908E0,1.003070213E1
4.571291250E-1,-6.601272583E-1,7.646099854E-1,9.850116577E0,9.901777265E0
4.671671251E-1,-6.387217712E-1,9.279203796E-1,9.711953888E0,9.777067559E0
4.772051250E-1,-6.665638733E-1,1.071022797E0,9.629625092E0,9.711903862E0
4.872421251E-1,-8.333171082E-1,1.059347076E0,9.506880341E0,9.601948107E0
4.972801250E-1,-1.141975250E0,9.012757874E-1,9.522447968E0,9.632934175E0
5.073181250E-1,-1.514251099E0,5.403762817E-1,9.857900391E0,9.988151132E0
5.173551250E-1,-1.912872162E0,3.891906738E-2,1.024454636E1,1.042167571E1
5.273931250E-1,-2.020049286E0,-1.790277100E-1,1.051997360E1,1.071365925E1
5.374311251E-1,-1.770967255E0,-5.718109131E-2,1.086934708E1,1.101282437E1
5.474681250E-1,-1.270408173E0,2.029779053E-1,1.119342316E1,1.126711405E1
5.575061251E-1,-5.011578369E-1,4.923262024E-1,1.125135269E1,1.127326402E1
5.675431250E-1,3.403921509E-1,7.158114624E-1,1.112965576E1,1.115784434E1
5.775811251E-1,1.010847931E0,9.163943481E-1,1.090841583E1,1.099341294E1
5.876191250E-1,1.377884674E0,1.011596375E0,1.083761307E1,1.097158833E1
5.976561251E-1,1.524729309E0,8.680448914E-1,1.080902252E1,1.095049174E1
6.076941250E-1,1.375639343E0,4.806504822E-1,1.068043991E1,1.077938798E1
6.177321250E-1,1.016536102E0,-1.347198486E-1,1.054107971E1,1.059083833E1
6.277691250E-1,6.236032104E-1,-5.405259705E-1,1.025337799E1,1.028653535E1
6.378071250E-1,5.292993164E-1,-4.320016479E-1,1.013557297E1,1.015857385E1
6.478441251E-1,4.815486145E-1,-1.317260742E-1,1.016161880E1,1.017387525E1
6.578821250E-1,3.041674805E-1,1.049317932E-1,1.005144791E1,1.005659652E1
6.679201251E-1,1.285826111E-1,2.438429260E-1,9.748627625E0,9.752524464E0
6.779571250E-1,-5.104385376E-2,3.882925415E-1,9.348659363E0,9.356858899E0
6.879951251E-1,-3.785627747E-1,5.137316895E-1,9.154812469E0,9.177026827E0
6.980331250E-1,-7.488926697E-1,5.831872559E-1,9.005123749E0,9.055009737E0
7.080701251E-1,-1.022373962E0,6.336323547E-1,8.918903046E0,8.999642772E0
7.181081250E-1,-1.248703308E0,6.251000977E-1,8.965755615E0,9.073851654E0
7.281461250E-1,-1.517095184E0,5.161267090E-1,9.251511383E0,9.389271934E0
7.381831250E-1,-1.738035736E0,3.906875610E-1,9.146280212E0,9.318146099E0
7.482211250E-1,-3.076103210E0,-1.802252197E-1,8.893156586E0,9.411860929E0
7.582581250E-1,-4.017944641E0,-1.580712891E-1,8.709937592E0,9.593324685E0
7.682961250E-1,-2.347717896E0,1.307980042E0,8.663534088E0,9.070800075E0
7.783341251E-1,-3.423081665E0,8.795709229E-1,7.311545563E0,8.120950167E0
7.883711250E-1,-2.970572662E0,1.339115295E0,7.735464020E0,8.393743820E0
7.984091251E-1,-3.531905365E0,1.765877838E0,9.005423126E0,9.833123905E0
8.084471250E-1,-5.446573792E0,5.412744141E-1,1.060245209E1,1.193189567E1
8.184841251E-1,-3.793860626E0,1.680106201E0,1.027672943E1,1.108274799E1
