"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.455458278E-3,-1.112935638E0,2.951262817E0,9.474248199E0,9.985487314E0
1.249245834E-2,-1.175206146E0,2.781665497E0,9.558223572E0,1.002389197E1
2.252945828E-2,-1.249002686E0,2.663411407E0,9.582173767E0,1.002356335E1
3.256645834E-2,-1.286724243E0,2.592908020E0,9.686207428E0,1.010947306E1
4.260345828E-2,-1.312770081E0,2.533481598E0,9.837243347E0,1.024271697E1
5.264045834E-2,-1.239721985E0,2.563269653E0,9.786199493E0,1.019200483E1
6.267745828E-2,-1.052162018E0,2.700983276E0,9.635313263E0,1.006188935E1
7.271445834E-2,-8.946894836E-1,2.800825653E0,9.457333374E0,9.903850168E0
8.275145828E-2,-6.514453125E-1,2.915187836E0,9.387129364E0,9.850933905E0
9.278845834E-2,-5.047503662E-1,3.102747803E0,9.188492432E0,9.711344398E0
1.028254583E-1,-6.459068298E-1,3.084635468E0,8.999884644E0,9.535727303E0
1.128624583E-1,-6.999444580E-1,2.951113129E0,9.010362854E0,9.507135726E0
1.228994583E-1,-7.283853149E-1,2.808310089E0,9.201215973E0,9.647773116E0
1.329364583E-1,-8.083190918E-1,2.631078644E0,9.517059174E0,9.907086852E0
1.429734583E-1,-9.493258667E-1,2.487527161E0,9.819280701E0,1.017385298E1
1.530104583E-1,-1.001716919E0,2.385589142E0,1.010503647E1,1.043102269E1
1.630474583E-1,-9.467811584E-1,2.411485291E0,1.024813889E1,1.057052536E1
1.730844583E-1,-8.910969543E-1,2.497256927E0,1.021460861E1,1.055313105E1
1.831214583E-1,-8.156538391E-1,2.605332184E0,1.007943970E1,1.044261230E1
1.931584583E-1,-6.878196716E-1,2.725981293E0,9.855505371E0,1.024866118E1
2.031954583E-1,-6.077362061E-1,2.869083710E0,9.588610382E0,1.002708500E1
2.132324583E-1,-5.433700562E-1,2.995720367E0,9.284143524E0,9.770614746E0
2.232694583E-1,-5.120851135E-1,3.083587646E0,8.973240051E0,9.502093504E0
2.333064583E-1,-5.340893555E-1,3.114722900E0,8.834628296E0,9.382825124E0
2.433424583E-1,-6.497987366E-1,3.059038696E0,8.872349854E0,9.407366691E0
2.533794583E-1,-7.408094788E-1,2.989134064E0,8.954978027E0,9.469707102E0
2.634164583E-1,-8.430468750E-1,2.898572388E0,9.055119781E0,9.545032435E0
2.734534583E-1,-9.798623657E-1,2.824626160E0,9.253756714E0,9.724744548E0
2.834904583E-1,-1.015488281E0,2.809208221E0,9.384734344E0,9.848660112E0
2.935274583E-1,-9.463320923E-1,2.828218689E0,9.411678314E0,9.872894918E0
3.035644583E-1,-8.598120117E-1,2.885998535E0,9.374705200E0,9.846489823E0
3.136014583E-1,-7.857160950E-1,2.907104645E0,9.272318115E0,9.749076388E0
3.236384583E-1,-7.397616577E-1,2.924019470E0,9.188791809E0,9.671144301E0
3.336754583E-1,-7.457492065E-1,2.953358459E0,9.073980560E0,9.571603381E0
3.437124583E-1,-9.360035706E-1,2.909050598E0,9.120084686E0,9.618452201E0
3.537494583E-1,-1.217268677E0,2.691253510E0,9.260343018E0,9.720007268E0
3.637864583E-1,-1.461560669E0,2.499202881E0,9.383686523E0,9.820170436E0
3.738234583E-1,-1.620081024E0,2.146536255E0,9.536668396E0,9.908598514E0
3.838604583E-1,-1.533111877E0,1.338666229E0,9.727371826E0,9.938019015E0
3.938974583E-1,-9.728269958E-1,2.641706543E0,9.593699799E0,9.998203921E0
