"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.527208300E-3,-7.813751221E-2,1.365161133E0,1.033376083E1,1.042383727E1
1.248720847E-2,-1.125659180E-1,1.545536041E0,1.005459137E1,1.017330626E1
2.244720841E-2,-1.013392639E-1,1.557810516E0,9.826765137E0,9.949992779E0
3.240720835E-2,2.754272461E-2,1.543440399E0,9.771380310E0,9.892564886E0
4.236620851E-2,1.669029236E-1,1.476978607E0,9.762698364E0,9.875201352E0
5.232620845E-2,2.604583740E-1,1.398541718E0,9.797276459E0,9.900019369E0
6.228620838E-2,3.348536682E-1,1.351988525E0,9.859696655E0,9.957590978E0
7.224520831E-2,4.188290405E-1,1.319955139E0,9.803862762E0,9.901182980E0
8.220520848E-2,5.650749207E-1,1.339414673E0,9.714348907E0,9.822520859E0
9.216520842E-2,5.304968262E-1,1.402433624E0,9.574689331E0,9.691383943E0
1.021252084E-1,3.787124634E-1,1.478176117E0,9.492959290E0,9.614816890E0
1.120842085E-1,1.886077881E-1,1.486259308E0,9.542655945E0,9.659545647E0
1.220442085E-1,7.634124756E-2,1.402433624E0,9.537716217E0,9.640574604E0
1.320042084E-1,1.282832336E-1,1.349892883E0,9.574539642E0,9.670081527E0
1.419635834E-1,2.736309814E-1,1.235830078E0,9.613458710E0,9.696429150E0
1.519225833E-1,3.805087280E-1,1.115330658E0,9.580676880E0,9.652881375E0
1.618825835E-1,5.010081482E-1,1.144370270E0,9.545649719E0,9.627046330E0
1.718425835E-1,6.083349609E-1,1.250200195E0,9.462722168E0,9.564318208E0
1.818015834E-1,6.887178040E-1,1.371148682E0,9.348809052E0,9.473891049E0
1.917615833E-1,6.101312256E-1,1.447639618E0,9.244775391E0,9.377301989E0
2.017215835E-1,3.935316467E-1,1.445244598E0,9.325756989E0,9.445281495E0
2.116815834E-1,2.249821472E-1,1.421144714E0,9.514065399E0,9.622250760E0
2.216405834E-1,1.148112488E-1,1.289568329E0,9.752519531E0,9.838079350E0
2.316005833E-1,6.586303711E-3,1.195264435E0,1.002674927E1,1.009774239E1
2.415605835E-1,-4.041595459E-3,1.164428558E0,1.017748581E1,1.024388245E1
2.515205834E-1,7.933502197E-2,1.203197937E0,1.018377274E1,1.025491133E1
2.614795833E-1,1.974394226E-1,1.353485413E0,1.011521530E1,1.020727611E1
2.714395835E-1,2.377056885E-1,1.497635651E0,1.002794678E1,1.014194918E1
2.813995834E-1,2.622546387E-1,1.583706665E0,9.899813232E0,1.002911792E1
2.913585834E-1,2.341131592E-1,1.681004333E0,9.773176575E0,9.919453861E0
3.013185833E-1,2.151026917E-1,1.725162506E0,9.698631592E0,9.853218235E0
3.112785835E-1,1.643582153E-1,1.685494995E0,9.664502563E0,9.811754012E0
3.212385834E-1,1.673519897E-1,1.603166199E0,9.712702332E0,9.845543923E0
3.311975833E-1,1.990859985E-1,1.487756195E0,9.809251556E0,9.923430346E0
3.411575835E-1,2.880010986E-1,1.348695374E0,9.900561676E0,9.996151527E0
3.511175835E-1,4.580474854E-1,1.250200195E0,9.899214478E0,9.988355986E0
3.610775834E-1,6.179150391E-1,1.240769806E0,9.791438599E0,9.889064594E0
3.710365833E-1,6.843768311E-1,1.337768097E0,9.664203186E0,9.780328131E0
3.809965835E-1,6.959028625E-1,1.417851562E0,9.510472870E0,9.640730162E0
3.909565834E-1,6.036946106E-1,1.490600281E0,9.395362244E0,9.532007557E0
4.009155834E-1,5.035528564E-1,1.557361450E0,9.326056366E0,9.468593745E0
4.108755833E-1,3.763174438E-1,1.564696198E0,9.399703217E0,9.536472596E0
4.208355835E-1,1.302291870E-1,1.479074249E0,9.560917969E0,9.675524414E0
4.307955834E-1,-3.173400879E-2,1.377585297E0,9.784403229E0,9.880956170E0
4.407545833E-1,-5.059478760E-2,1.320104828E0,9.887987823E0,9.975847823E0
4.507145835E-1,2.859054565E-2,1.337468719E0,9.880952454E0,9.971101313E0
4.606745834E-1,1.333726501E-1,1.440903625E0,9.861043854E0,9.966653270E0
4.706345834E-1,2.278262329E-1,1.492246857E0,9.820927277E0,9.936262781E0
4.805935833E-1,2.371069336E-1,1.526525574E0,9.807604980E0,9.928525343E0
4.905535835E-1,2.522254944E-1,1.583706665E0,9.782906342E0,9.913475727E0
5.005135834E-1,2.109114075E-1,1.589394836E0,9.722731476E0,9.854043176E0
5.104725834E-1,1.853146362E-1,1.539997559E0,9.690398712E0,9.813753675E0
5.204325835E-1,1.306782532E-1,1.432970123E0,9.831555176E0,9.936294951E0
5.303925835E-1,4.625381470E-2,1.235530701E0,9.996961212E0,1.007312806E1
5.403525834E-1,4.296066284E-2,1.193318481E0,1.001896545E1,1.008987232E1
5.503115833E-1,1.161584473E-1,1.277593231E0,9.983638916E0,1.006572319E1
5.602715835E-1,2.017803955E-1,1.353784790E0,9.886490936E0,9.980789128E0
5.702315834E-1,3.234773254E-1,1.466350708E0,9.804760895E0,9.919080511E0
5.801915834E-1,4.417314148E-1,1.570983124E0,9.795330505E0,9.930338077E0
5.901505833E-1,4.688250732E-1,1.612446899E0,9.693093109E0,9.837471015E0
6.001105835E-1,4.092489624E-1,1.655557251E0,9.657018127E0,9.806444495E0
6.100705834E-1,2.245330811E-1,1.616638184E0,9.640851746E0,9.778034388E0
6.200295833E-1,7.843688965E-2,1.545086975E0,9.690398712E0,9.813117410E0
6.299895835E-1,1.122665405E-2,1.459165649E0,9.682914276E0,9.792247919E0
6.399495834E-1,-7.723937988E-2,1.412462769E0,9.652228088E0,9.755333109E0
6.499095834E-1,1.206491089E-1,1.612147522E0,9.618697815E0,9.753610793E0
6.598685833E-1,2.508782959E-1,1.625170441E0,9.591454468E0,9.731398547E0
6.698285835E-1,1.059796143E-1,1.407073975E0,9.573491821E0,9.676922781E0
6.797885834E-1,5.035528564E-1,1.573827209E0,9.596843262E0,9.738064395E0
6.897485834E-1,6.631210327E-1,1.704954529E0,9.720785522E0,9.891424095E0
6.997075835E-1,4.828958130E-1,1.809437256E0,9.973909149E0,1.014820749E1
7.096675835E-1,5.369334412E-1,2.586022339E0,1.007794281E1,1.041828874E1
7.196275834E-1,3.376977539E-1,2.025587769E0,1.012030472E1,1.032654895E1
7.295865833E-1,2.195933533E-1,1.002615051E0,9.993668060E0,1.004623609E1
7.395465835E-1,1.910028076E-1,8.985813904E-1,9.780361633E0,9.823411030E0
7.495065834E-1,4.909790039E-2,1.191522217E0,9.657766571E0,9.731114578E0
7.594665834E-1,4.266128540E-2,1.466500397E0,9.713001709E0,9.823178997E0
7.694255833E-1,4.355941772E-2,1.587897949E0,9.699829102E0,9.829038708E0
7.793855835E-1,1.863624573E-1,1.751358032E0,9.655072174E0,9.814397822E0
7.893455834E-1,3.890409851E-1,1.841919708E0,9.746232605E0,9.926382578E0
7.993055834E-1,5.499563599E-1,1.866169281E0,9.778864746E0,9.970518317E0
8.092645835E-1,7.152127075E-1,1.738484802E0,9.977052612E0,1.015260742E1
8.192245835E-1,7.307803345E-1,1.543290710E0,9.971813507E0,1.011695857E1
8.291845834E-1,5.539979553E-1,1.479673004E0,9.964478760E0,1.008896342E1
8.391435833E-1,3.284170532E-1,1.541344757E0,9.865983582E0,9.991057674E0
8.491035835E-1,3.183879089E-1,1.663939819E0,9.793085175E0,9.938540326E0
8.590635834E-1,4.129911804E-1,1.774110718E0,9.701625366E0,9.871148125E0
8.690235834E-1,4.423301697E-1,1.841171265E0,9.689201202E0,9.872496520E0
8.789825833E-1,4.252656555E-1,1.892215118E0,9.735904083E0,9.927192818E0
8.889425835E-1,2.778222656E-1,1.933080139E0,9.678273926E0,9.873346455E0
8.989025834E-1,6.765930176E-2,1.970352631E0,9.588311005E0,9.788900612E0
9.088615833E-1,-2.799179077E-2,2.047592010E0,9.585466919E0,9.801764772E0
9.188215835E-1,-7.065307617E-2,2.257754974E0,9.595795441E0,9.858079910E0
9.287815834E-1,1.901046753E-2,2.419269104E0,9.622290344E0,9.921778866E0
9.387415834E-1,1.411564636E-1,2.301015015E0,9.674382019E0,9.945263330E0
9.487005833E-1,1.076261902E-1,1.998344421E0,9.675729218E0,9.880521227E0
9.586605835E-1,3.592529297E-3,1.615889740E0,9.685908051E0,9.819772264E0
9.686205834E-1,-7.304809570E-2,1.420396271E0,9.616003418E0,9.720616407E0
9.785805834E-1,-2.423460388E-1,1.389261017E0,9.577533417E0,9.680801833E0
9.885395835E-1,-3.412902832E-1,1.415306854E0,9.554631042E0,9.664913187E0
9.984995835E-1,-3.432362366E-1,1.539398804E0,9.523346100E0,9.653065872E0
1.008459583E0,-3.421884155E-1,1.678908691E0,9.564360809E0,9.716626215E0
1.018418583E0,-3.857478333E-1,1.746418304E0,9.723030853E0,9.886157356E0
1.028378583E0,-3.261717224E-1,1.878743134E0,9.888736267E0,1.007090705E1
1.038338583E0,-1.913021851E-1,1.819466400E0,9.926906891E0,1.009408415E1
1.048298583E0,-1.793270874E-1,1.674567719E0,9.933044128E0,1.007480525E1
1.058257583E0,-2.311193848E-1,1.544488220E0,9.906100159E0,1.002844357E1
1.068217583E0,-2.818638611E-1,1.446292419E0,9.834698639E0,9.944471143E0
1.078177583E0,-4.415817261E-1,1.482966156E0,9.850415955E0,9.971202411E0
1.088137583E0,-5.929170227E-1,1.643582153E0,9.791139221E0,9.945819229E0
1.098096584E0,-5.792953491E-1,1.693278809E0,9.652228088E0,9.816734859E0
1.108056583E0,-5.689668274E-1,1.878743134E0,9.577982483E0,9.777072540E0
1.118016583E0,-4.314028931E-1,2.052382050E0,9.614955597E0,9.841023913E0
1.127975583E0,-1.926493835E-1,2.231858826E0,9.690249023E0,9.945814886E0
1.137936333E0,-1.377136230E-1,2.262994080E0,9.640402679E0,9.903407043E0
1.147896333E0,-2.938389587E-1,2.346969452E0,9.586514740E0,9.873999787E0
1.157856333E0,-4.174818420E-1,2.337239685E0,9.622440033E0,9.911020766E0
1.167815333E0,-3.671864319E-1,2.176473999E0,9.643995209E0,9.893356788E0
1.177775333E0,-3.185375977E-1,2.004781036E0,9.758956146E0,9.967840201E0
1.187735333E0,-3.146456909E-1,1.931882629E0,9.823621674E0,1.001672178E1
1.197695334E0,-1.598675537E-1,1.998344421E0,9.803563385E0,1.000643758E1
1.207654333E0,-1.428030396E-1,2.472857666E0,9.528435516E0,9.845125755E0
1.217614333E0,-1.353186035E-1,2.202669525E0,9.241631927E0,9.501464353E0
1.227574333E0,3.772155762E-2,1.941612396E0,9.160949707E0,9.364522473E0
1.237533333E0,5.972579956E-2,1.755399628E0,9.251212006E0,9.416470602E0
1.247493333E0,-7.679031372E-2,1.613195343E0,9.288933563E0,9.428286308E0
1.257453333E0,-2.523751831E-1,1.493743744E0,9.242829437E0,9.366155007E0
1.267413334E0,-2.911445618E-1,1.477727051E0,9.154064026E0,9.277140216E0
1.277372333E0,-3.243754578E-1,1.569635925E0,9.263486481E0,9.401125366E0
1.287332333E0,-6.149212646E-1,1.797761536E0,9.354796600E0,9.545799816E0
1.297292333E0,-8.518785095E-1,2.118394775E0,9.625583496E0,9.892681692E0
1.307252333E0,-9.416917419E-1,2.487826538E0,9.831106110E0,1.018463114E1
1.317211333E0,-8.271798706E-1,2.922672272E0,9.972861328E0,1.042517160E1
1.327171333E0,-7.821235657E-1,2.424957275E0,1.043614792E1,1.074268674E1
1.337131333E0,-1.495839386E0,1.433419189E0,9.889185333E0,1.010387117E1
1.347090333E0,-1.594035187E0,9.336085510E-1,9.238937531E0,9.421811917E0
1.357050333E0,-1.269360352E0,1.133442993E0,9.157506866E0,9.314284767E0
1.367010333E0,-1.025816803E0,1.290017395E0,9.254654846E0,9.400270279E0
1.376970334E0,-7.396119690E-1,1.586401062E0,9.525292053E0,9.684775831E0
1.386929333E0,-1.824705505E-1,1.883682861E0,9.455537109E0,9.643066870E0
1.396889333E0,6.631210327E-1,1.877096558E0,9.885293427E0,1.008376156E1
1.406849333E0,3.620970154E-1,1.516197052E0,9.976154480E0,1.009720882E1
