Time (ms), Temperature (C), Shunt Voltage, Bus Voltage (V), Current (mA), Power (mW), Load Voltage (V)
500,29.00,-0.01,3.98,-0.30,0.00,3.98
1000,29.00,155.48,0.05,1554.60,88.00,0.21
1500,29.00,155.30,0.05,1552.70,88.00,0.21
2000,29.06,154.98,0.05,1551.70,82.00,0.21
2500,29.06,154.73,0.05,1546.80,82.00,0.21
3000,29.00,157.77,0.06,1575.00,82.00,0.21
3500,29.00,160.01,0.06,1594.20,82.00,0.22
4000,29.00,157.86,0.06,1588.30,88.00,0.21
4500,29.00,159.38,0.06,1594.30,82.00,0.22
5000,29.00,160.99,0.06,1608.00,92.00,0.22
5500,29.00,160.12,0.06,1604.90,88.00,0.22
6000,29.00,160.75,0.05,1607.80,88.00,0.21
6500,29.00,162.65,0.06,1620.50,86.00,0.22
7000,29.00,161.37,0.06,1613.40,86.00,0.22
7500,29.00,160.92,0.05,1634.10,92.00,0.21
8000,29.00,164.48,0.06,1646.30,92.00,0.22
8500,29.00,162.56,0.06,1625.80,98.00,0.22
9000,29.06,163.43,0.05,1630.20,92.00,0.22
9500,29.06,163.66,0.06,1627.40,92.00,0.22
10000,29.06,163.64,0.05,1634.80,92.00,0.22
10500,29.00,163.59,0.06,1636.90,92.00,0.22
11000,29.00,163.84,0.06,1638.10,92.00,0.22
11500,29.00,164.00,0.06,1639.40,98.00,0.22
12000,29.00,164.11,0.06,1640.60,92.00,0.22
12500,29.00,163.93,0.06,1634.90,86.00,0.22
13000,29.00,164.66,0.06,1645.80,98.00,0.22
13500,29.00,163.96,0.06,1642.20,92.00,0.22
14000,29.00,163.80,0.06,1642.50,92.00,0.22
14500,29.00,164.05,0.06,1640.60,92.00,0.22
15000,29.00,164.02,0.06,1640.80,92.00,0.22
15500,29.00,164.15,0.06,1644.00,86.00,0.22
16000,29.00,164.48,0.06,1642.60,92.00,0.22
16500,28.94,164.19,0.06,1641.60,98.00,0.22
17000,29.00,162.97,0.06,1635.10,92.00,0.22
17500,28.94,166.94,0.06,1670.50,96.00,0.22
18000,29.00,167.36,0.06,1665.00,92.00,0.23
18500,29.00,167.57,0.06,1675.60,102.00,0.22
19000,29.00,166.20,0.06,1661.20,98.00,0.22
19500,29.00,166.70,0.06,1667.40,92.00,0.23
20000,29.00,167.39,0.06,1674.20,102.00,0.23
20500,29.00,167.60,0.06,1674.20,96.00,0.22
21000,29.00,166.73,0.06,1671.60,96.00,0.22
21500,29.00,167.64,0.06,1675.40,102.00,0.23
22000,29.06,168.33,0.06,1680.00,96.00,0.23
22500,29.06,166.91,0.06,1670.20,102.00,0.22
23000,29.06,168.01,0.06,1686.00,102.00,0.23
23500,29.06,167.93,0.06,1678.50,96.00,0.22
24000,29.06,167.27,0.06,1672.20,102.00,0.22
24500,29.06,166.88,0.06,1671.80,98.00,0.23
25000,29.06,170.87,0.06,1708.00,102.00,0.23
25500,29.06,171.23,0.06,1712.40,102.00,0.23
26000,29.06,171.18,0.06,1709.90,102.00,0.24
26500,29.06,171.28,0.06,1713.00,102.00,0.23
27000,29.06,170.99,0.06,1710.00,102.00,0.23
27500,29.06,171.13,0.06,1711.60,102.00,0.23
28000,29.06,170.00,0.06,1699.70,102.00,0.23
28500,29.00,170.02,0.06,1698.60,102.00,0.23
29000,29.00,170.08,0.06,1701.20,102.00,0.23
29500,29.06,170.52,0.06,1703.90,102.00,0.23
30000,29.06,170.20,0.06,1701.50,102.00,0.23
30500,29.06,170.81,0.06,1708.20,102.00,0.23
31000,29.06,171.02,0.06,1709.20,102.00,0.23
31500,29.06,170.70,0.06,1707.30,102.00,0.23
32000,29.12,171.13,0.06,1710.10,102.00,0.23
32500,29.12,170.25,0.06,1698.90,102.00,0.23
33000,29.12,171.47,0.06,1714.60,102.00,0.23
33500,29.12,171.30,0.06,1712.90,96.00,0.23
34000,29.12,171.53,0.06,1715.90,102.00,0.23
34500,29.12,169.76,0.06,1698.60,102.00,0.23
35000,29.12,170.03,0.06,1700.40,102.00,0.23
35500,29.06,171.58,0.06,1716.30,102.00,0.23
36000,29.12,170.04,0.06,1700.40,96.00,0.23
36500,29.06,171.11,0.06,1718.50,102.00,0.23
37000,29.12,170.43,0.06,1711.20,102.00,0.23
37500,29.06,171.02,0.06,1710.30,108.00,0.23
38000,29.06,171.10,0.06,1711.00,96.00,0.23
38500,29.06,172.12,0.06,1722.20,104.00,0.23
39000,29.06,171.38,0.06,1715.70,112.00,0.23
39500,29.12,170.85,0.06,1708.80,102.00,0.23
40000,29.12,171.05,0.06,1710.00,102.00,0.23
40500,29.12,171.72,0.06,1716.10,96.00,0.23
41000,29.06,171.23,0.06,1712.10,102.00,0.23
41500,29.06,172.46,0.06,1717.30,102.00,0.23
42000,29.06,172.60,0.06,1717.90,104.00,0.23
42500,29.06,172.73,0.06,1717.60,102.00,0.23
43000,29.06,172.86,0.06,1728.50,104.00,0.23
43500,29.06,172.81,0.06,1728.60,104.00,0.24
44000,29.06,172.85,0.06,1729.00,104.00,0.23
44500,29.06,172.99,0.06,1728.40,104.00,0.24
45000,29.06,172.38,0.06,1718.90,104.00,0.23
45500,29.06,173.40,0.06,1732.70,104.00,0.24
46000,29.06,173.07,0.06,1731.60,104.00,0.23
46500,29.12,173.31,0.06,1733.30,104.00,0.23
47000,29.12,173.36,0.06,1732.90,112.00,0.24
47500,29.12,173.36,0.06,1725.80,104.00,0.23
48000,29.12,172.31,0.06,1732.20,104.00,0.24
48500,29.12,173.56,0.06,1733.70,98.00,0.23
49000,29.12,173.40,0.06,1733.70,104.00,0.23
49500,29.12,173.18,0.06,1723.50,104.00,0.23
50000,29.19,173.45,0.06,1735.00,104.00,0.23
50500,29.19,173.62,0.06,1736.70,104.00,0.24
51000,29.19,173.89,0.06,1734.40,96.00,0.23
51500,29.12,173.67,0.06,1727.70,112.00,0.24
52000,29.19,173.96,0.06,1738.30,104.00,0.23
52500,29.19,174.16,0.06,1742.40,98.00,0.23
53000,29.12,174.21,0.06,1741.70,104.00,0.23
53500,29.12,172.18,0.06,1739.80,104.00,0.23
54000,29.12,173.83,0.06,1732.60,104.00,0.23
54500,29.19,174.08,0.06,1740.20,112.00,0.24
55000,29.19,173.58,0.06,1733.30,104.00,0.23
55500,29.19,174.67,0.06,1747.00,104.00,0.24
56000,29.19,174.81,0.06,1742.40,104.00,0.24
56500,29.19,174.95,0.06,1749.70,112.00,0.23
57000,29.25,173.99,0.06,1739.30,112.00,0.24
57500,29.25,172.71,0.06,1725.90,104.00,0.24
58000,29.25,173.88,0.06,1738.40,104.00,0.24
58500,29.19,171.54,0.06,1715.80,102.00,0.23
59000,29.25,170.33,0.06,1701.90,102.00,0.23
59500,29.25,172.08,0.06,1733.40,104.00,0.23
60000,29.25,171.96,0.06,1719.80,102.00,0.23
60500,29.25,168.81,0.06,1690.90,96.00,0.23
61000,29.25,168.11,0.06,1684.60,96.00,0.23
61500,29.25,172.68,0.06,1724.70,104.00,0.23
62000,29.31,168.37,0.06,1711.70,102.00,0.22
62500,29.25,173.72,0.06,1724.30,104.00,0.23
63000,29.31,175.07,0.06,1749.40,112.00,0.24
63500,29.25,172.64,0.06,1723.20,112.00,0.23
64000,29.31,171.99,0.06,1720.70,102.00,0.23
64500,29.31,171.12,0.06,1712.20,102.00,0.24
65000,29.31,174.86,0.06,1749.10,112.00,0.24
65500,29.37,170.75,0.06,1705.30,102.00,0.23
66000,29.37,170.93,0.06,1707.80,102.00,0.23
66500,29.37,170.89,0.06,1707.00,102.00,0.23
67000,29.37,173.74,0.06,1753.20,104.00,0.23
67500,29.44,174.77,0.06,1749.10,104.00,0.24
68000,29.44,175.25,0.06,1751.40,104.00,0.24
68500,29.44,174.18,0.06,1742.10,104.00,0.23
69000,29.44,175.09,0.06,1746.50,112.00,0.24
69500,29.50,174.89,0.06,1746.90,104.00,0.23
70000,29.50,175.62,0.06,1742.20,104.00,0.24
70500,29.50,175.28,0.06,1755.20,104.00,0.24
71000,29.50,175.93,0.06,1759.20,112.00,0.24
71500,29.50,175.67,0.06,1755.90,104.00,0.24
72000,29.50,175.79,0.06,1759.70,112.00,0.24
72500,29.56,175.86,0.06,1756.10,112.00,0.24
73000,29.56,176.12,0.06,1761.70,112.00,0.24
73500,29.56,176.45,0.06,1764.50,112.00,0.24
74000,29.56,176.00,0.06,1746.20,112.00,0.24
74500,29.62,176.15,0.06,1762.30,104.00,0.24
75000,29.62,176.38,0.06,1763.60,112.00,0.24
75500,29.62,176.39,0.06,1763.60,112.00,0.24
76000,29.62,176.33,0.06,1764.20,112.00,0.24
76500,29.62,176.56,0.06,1765.10,112.00,0.24
77000,29.69,176.62,0.06,1766.20,112.00,0.24
77500,29.69,176.62,0.06,1765.90,112.00,0.24
78000,29.75,176.97,0.06,1769.20,104.00,0.24
78500,29.75,175.93,0.06,1759.30,104.00,0.24
79000,29.75,176.90,0.06,1769.50,104.00,0.24
79500,29.75,176.88,0.06,1768.70,104.00,0.24
80000,29.81,176.44,0.06,1763.30,104.00,0.24
80500,29.81,176.75,0.06,1767.90,104.00,0.24
81000,29.81,176.64,0.06,1766.90,104.00,0.24
81500,29.81,176.93,0.06,1769.50,114.00,0.24
82000,29.81,176.93,0.06,1771.70,114.00,0.24
82500,29.87,175.70,0.06,1757.40,104.00,0.24
83000,29.87,177.32,0.06,1773.50,114.00,0.24
83500,29.87,177.22,0.06,1772.80,114.00,0.24
