Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,536,490,456
8,536,517,492
12,536,528,512
16,535,531,521
20,535,529,522
24,535,529,523
28,535,531,526
32,535,532,527
36,535,530,525
40,535,529,524
44,535,530,525
48,535,532,527
52,536,531,526
56,536,529,524
60,536,531,525
64,536,532,527
68,537,532,527
72,536,529,524
76,536,531,525
80,536,533,528
84,536,532,527
88,536,530,525
92,536,530,525
96,536,533,527
100,536,533,528
104,537,530,525
108,536,530,525
112,536,532,527
116,536,532,528
120,536,530,525
124,537,530,525
128,537,532,527
132,537,533,528
136,536,531,526
140,536,530,525
144,536,532,526
148,536,533,528
152,536,532,527
156,536,530,525
160,536,531,526
164,537,533,528
168,536,531,527
172,536,530,525
176,537,531,525
180,537,533,528
184,537,533,528
188,538,531,526
192,537,531,526
196,537,533,528
200,537,533,528
204,537,530,525
208,537,531,526
212,537,533,528
216,537,533,528
220,536,531,526
224,536,530,525
228,537,532,527
232,537,533,528
236,537,531,526
240,537,531,525
244,538,533,528
248,537,534,529
252,538,533,528
256,538,532,527
260,538,532,527
264,538,535,529
268,538,534,529
272,538,531,526
276,538,532,527
280,539,535,530
284,538,534,529
288,538,532,527
292,538,533,527
296,538,535,530
300,538,534,529
304,539,532,527
308,539,532,527
312,539,535,529
316,539,535,530
320,539,533,528
324,539,532,527
328,538,534,529
332,538,535,530
336,538,532,527
340,538,532,527
344,538,533,528
348,538,535,530
352,538,533,528
356,538,531,526
360,538,533,527
364,538,535,530
368,538,533,528
372,538,531,526
376,538,533,527
380,538,535,530
384,538,534,529
388,538,532,527
392,538,532,527
396,538,534,529
400,538,534,529
404,538,532,527
408,538,532,527
412,539,535,529
416,539,535,530
420,538,532,527
424,538,532,527
428,541,536,530
432,539,536,531
436,539,534,529
440,539,532,527
444,539,534,529
448,539,535,530
452,539,533,528
456,538,531,526
460,538,533,528
464,538,535,530
468,538,533,528
472,538,532,527
476,539,533,527
480,539,536,530
484,538,534,530
488,538,532,527
492,539,533,527
496,539,535,530
500,538,534,529
504,538,532,527
508,539,533,527
512,538,534,529
516,538,535,530
520,538,532,527
524,538,532,527
528,538,534,529
532,538,535,530
536,538,533,528
540,538,532,527
544,539,534,529
548,539,535,530
552,538,533,528
556,538,532,527
560,538,533,528
564,538,535,530
568,538,534,529
572,538,531,526
576,538,532,527
580,538,535,529
584,538,534,529
588,538,531,526
592,538,532,527
596,538,535,529
600,538,534,529
604,538,532,526
608,538,532,527
612,539,535,530
616,539,535,530
620,538,532,527
624,538,532,527
628,538,534,529
632,538,534,529
636,538,532,527
640,538,532,526
644,538,533,528
648,538,534,529
652,538,533,528
656,538,531,526
660,538,532,527
664,537,534,529
668,537,532,527
672,537,530,525
676,537,532,527
680,537,534,529
684,537,533,528
688,537,531,526
692,537,531,526
696,537,534,529
700,537,533,528
704,537,531,526
708,537,531,526
712,537,533,528
716,537,533,528
720,537,531,526
724,537,531,526
728,537,533,528
732,537,534,529
736,537,532,527
740,537,531,526
744,538,533,528
748,538,534,529
752,538,532,527
756,537,531,526
760,538,532,527
764,538,534,529
768,538,533,528
772,538,531,526
776,538,532,526
780,538,534,529
784,537,533,528
788,537,531,526
792,537,532,526
796,537,534,529
800,537,533,528
804,537,531,526
808,537,531,526
812,537,533,528
816,537,533,528
820,537,531,526
824,537,531,525
828,537,533,528
832,537,533,528
836,536,531,526
840,537,530,525
844,537,532,527
848,537,533,528
852,537,531,526
856,537,530,525
860,537,531,526
864,537,533,528
868,537,532,527
872,536,530,525
876,537,531,526
880,537,533,528
884,536,532,527
888,536,530,525
892,536,531,526
896,536,533,528
900,536,532,527
904,536,529,525
908,536,530,525
912,536,532,527
916,536,532,527
920,536,530,525
924,536,530,525
928,537,533,527
932,536,532,527
936,535,530,525
940,536,529,524
944,536,531,526
948,536,533,527
952,536,531,526
956,535,529,524
960,535,531,526
964,536,532,527
968,538,532,527
972,537,530,525
976,536,531,526
980,536,533,528
984,537,532,527
988,535,529,524
992,535,530,525
996,535,532,527
1000,535,531,526
1004,536,529,524
1008,536,530,525
1012,537,533,528
1016,536,532,527
1020,536,529,525
1024,536,529,525
1028,536,531,526
1032,536,532,527
1036,536,530,525
1040,536,530,524
1044,537,532,527
1048,536,533,528
1052,537,532,527
1056,539,531,525
1060,537,532,527
1064,537,533,528
1068,537,532,527
1072,537,531,526
1076,538,532,527
1080,537,534,529
1084,537,533,528
1088,537,530,525
1092,537,531,526
1096,537,534,528
1100,536,532,528
1104,536,530,525
1108,537,531,526
1112,536,533,528
1116,536,533,528
1120,536,530,525
1124,536,530,525
1128,536,532,527
1132,536,532,527
1136,536,530,525
1140,537,530,525
1144,537,532,527
1148,536,533,528
1152,536,531,526
1156,536,530,525
1160,536,531,526
1164,536,533,528
1168,536,531,526
1172,536,529,524
1176,536,531,526
1180,536,533,528
1184,536,532,527
1188,538,531,525
1192,536,531,526
1196,536,533,528
1200,536,532,527
1204,536,530,525
1208,536,530,525
1212,536,533,527
1216,536,532,527
1220,536,530,525
1224,536,530,525
1228,536,533,527
1232,536,532,527
1236,536,530,525
1240,536,530,525
1244,536,532,527
1248,536,533,528
1252,536,531,526
1256,536,529,524
1260,536,531,526
1264,536,532,527
1268,536,531,526
1272,536,529,524
1276,536,531,526
1280,536,533,528
1284,536,532,527
1288,536,530,525
1292,536,530,525
1296,537,533,528
1300,538,533,528
1304,538,531,526
1308,538,532,526
1312,537,534,529
1316,537,533,528
1320,537,530,525
1324,537,531,526
1328,537,533,528
1332,536,533,528
1336,536,530,525
1340,536,530,524
1344,536,532,527
1348,536,533,528
1352,536,531,526
1356,536,530,525
1360,536,532,527
1364,537,533,528
1368,537,532,527
1372,537,529,525
1376,536,531,526
1380,537,533,528
1384,537,532,527
1388,537,529,524
1392,537,531,525
1396,537,534,528
1400,537,533,528
1404,536,530,525
1408,537,531,526
1412,537,533,528
1416,538,534,529
1420,538,532,527
1424,538,532,527
1428,538,535,529
1432,538,534,530
1436,538,532,527
1440,538,531,526
1444,537,533,528
1448,537,533,528
1452,537,532,527
1456,537,530,525
1460,537,532,527
1464,537,533,528
1468,537,532,527
1472,537,530,525
1476,537,532,527
1480,537,534,529
1484,537,532,527
1488,537,530,525
1492,537,531,526
1496,537,533,528
1500,537,533,528
1504,537,530,525
1508,536,530,525
1512,537,533,528
1516,536,532,528
1520,537,530,525
1524,537,530,525
1528,537,533,528
1532,537,533,528
1536,539,533,527
1540,539,532,526
1544,538,534,528
1548,537,534,529
1552,540,534,528
1556,539,532,527
1560,542,536,530
1564,542,538,532
1568,541,536,531
1572,541,534,529
1576,541,536,531
1580,542,538,533
1584,543,538,533
1588,544,537,531
1592,545,539,533
1596,544,541,536
1600,545,540,535
1604,545,539,533
1608,545,540,534
1612,545,542,537
1616,545,541,536
1620,543,537,533
1624,544,538,532
1628,543,539,534
1632,543,539,535
1636,542,536,532
1640,541,534,530
1644,536,534,530
1648,541,536,531
1652,540,534,529
1656,540,534,528
1660,539,535,530
1664,537,534,530
1668,537,532,528
1672,538,531,526
1676,540,534,528
1680,545,540,533
1684,547,542,535
1688,545,539,533
1692,547,541,535
1696,544,542,537
1700,546,542,537
1704,547,540,535
1708,548,542,536
1712,545,542,537
1716,543,540,536
1720,538,533,530
1724,540,533,529
1728,542,537,532
1732,545,541,534
1736,542,537,532
1740,548,540,533
1744,551,546,539
1748,546,544,539
1752,544,540,536
1756,544,538,533
1760,547,541,535
1764,545,542,537
1768,544,539,535
1772,548,540,534
1776,548,542,537
1780,543,541,537
1784,548,542,537
1788,550,542,536
1792,550,544,538
1796,554,550,543
1800,555,550,544
1804,554,548,542
1808,554,548,543
1812,555,552,546
1816,552,549,545
1820,555,548,543
1824,555,549,543
1828,555,551,545
1832,552,548,544
1836,552,546,542
1840,552,545,540
1844,551,547,542
1848,554,550,544
1852,553,547,542
1856,554,547,541
1860,554,549,544
1864,551,548,544
1868,550,545,541
1872,551,544,539
1876,552,547,541
1880,553,549,543
1884,552,548,543
1888,556,548,542
1892,554,549,543
1896,552,549,545
1900,552,548,543
1904,554,547,542
1908,556,549,543
1912,556,552,547
1916,557,552,547
1920,557,550,545
1924,552,547,543
1928,550,547,543
1932,551,547,542
1936,551,545,540
1940,551,545,539
1944,551,547,542
1948,550,547,542
1952,552,545,540
1956,553,546,540
1960,554,549,543
1964,555,550,545
1968,555,549,544
1972,559,550,544
1976,556,551,546
1980,552,550,546
1984,553,548,544
1988,553,546,541
1992,554,548,543
1996,553,550,545
2000,553,548,544
2004,553,546,541
2008,553,547,542
2012,553,550,544
2016,553,549,544
2020,553,547,542
2024,553,547,542
2028,554,550,544
2032,554,550,545
2036,554,548,543
2040,555,548,543
2044,555,551,546
2048,556,552,547
2052,556,550,545
2056,556,549,544
2060,556,551,546
2064,555,552,547
2068,555,550,545
2072,554,548,543
2076,555,550,545
2080,555,551,546
2084,556,550,545
2088,556,549,544
2092,556,551,545
2096,556,553,548
2100,557,552,547
2104,557,550,545
2108,557,551,545
2112,558,554,548
2116,557,553,548
2120,557,551,545
2124,557,551,546
2128,557,554,548
2132,557,553,548
2136,557,551,546
2140,557,550,545
2144,557,553,547
2148,557,553,548
2152,556,551,546
2156,556,550,545
2160,557,552,547
2164,557,553,548
2168,557,551,546
2172,557,550,545
2176,557,551,546
2180,557,553,548
2184,557,552,547
2188,557,550,545
2192,558,552,546
2196,558,554,549
2200,558,553,548
2204,558,551,546
2208,558,552,547
2212,557,554,549
2216,557,553,548
2220,557,551,546
2224,557,551,546
2228,557,553,548
2232,557,553,548
2236,557,551,546
2240,557,551,545
2244,558,553,548
2248,557,554,549
2252,558,551,546
2256,558,551,546
2260,558,553,548
2264,558,554,549
2268,557,552,547
2272,557,551,545
2276,557,552,547
2280,557,554,549
2284,558,553,548
2288,557,550,545
2292,557,552,547
2296,557,554,549
2300,558,553,548
2304,558,551,546
2308,558,551,546
2312,558,554,549
2316,558,554,549
2320,558,551,546
2324,558,552,546
2328,558,554,549
2332,558,554,549
2336,558,552,547
2340,560,553,547
2344,560,556,550
2348,560,556,551
2352,558,553,548
2356,558,552,547
2360,558,554,549
2364,559,555,550
2368,558,553,548
2372,558,552,546
2376,558,553,548
2380,559,555,550
2384,560,554,549
2388,559,552,547
2392,559,553,548
2396,558,555,550
2400,557,554,549
2404,557,551,546
2408,557,552,547
2412,558,554,549
2416,558,554,549
2420,558,551,546
2424,558,552,547
2428,558,555,549
2432,558,554,549
2436,558,552,547
2440,558,552,546
2444,558,554,549
2448,558,554,549
2452,558,552,547
2456,558,552,546
2460,558,554,548
2464,558,554,549
2468,558,552,547
2472,558,552,546
2476,558,553,548
2480,558,555,550
2484,559,554,549
2488,559,552,547
2492,559,553,548
2496,559,556,550
2500,560,555,550
2504,559,552,547
2508,559,553,548
2512,559,556,550
2516,559,555,550
2520,559,553,548
2524,560,553,548
2528,561,557,551
2532,561,557,552
2536,561,555,550
2540,561,555,549
2544,561,557,552
2548,561,557,552
2552,561,555,550
2556,559,553,548
2560,560,555,550
2564,559,556,551
2568,559,554,549
2572,559,552,547
2576,559,554,548
2580,559,556,550
2584,559,554,549
2588,559,552,547
2592,559,554,548
2596,559,556,551
2600,559,554,549
2604,559,553,547
2608,559,553,548
2612,559,555,550
2616,559,555,550
2620,559,552,547
2624,559,553,547
2628,559,555,550
2632,559,555,550
2636,559,552,547
2640,559,552,547
2644,559,555,550
2648,559,555,550
2652,558,553,548
2656,559,552,547
2660,559,554,549
2664,559,555,550
2668,559,553,548
2672,559,552,547
2676,559,554,549
2680,559,555,550
2684,559,553,548
2688,559,552,547
2692,559,553,548
2696,559,556,550
2700,559,555,550
2704,559,552,547
2708,559,553,548
2712,559,556,550
2716,559,555,550
2720,559,552,547
2724,559,553,547
2728,559,555,550
2732,559,555,550
2736,559,553,548
2740,559,552,547
2744,559,555,549
2748,559,555,550
2752,559,553,548
2756,559,552,547
2760,559,554,549
2764,559,555,550
2768,559,553,548
2772,559,552,547
2776,559,554,548
2780,559,555,550
2784,559,554,549
2788,559,552,547
2792,559,554,548
2796,559,556,550
2800,559,554,549
2804,559,552,547
2808,559,553,548
2812,559,556,550
2816,559,555,550
2820,559,552,547
2824,559,553,547
2828,559,555,550
2832,559,555,550
2836,559,553,548
2840,559,553,547
2844,559,555,550
2848,559,555,550
2852,559,553,548
2856,559,552,547
2860,559,554,549
2864,559,555,550
2868,559,554,549
2872,559,552,547
2876,559,554,549
2880,559,555,550
2884,559,554,549
2888,559,552,547
2892,559,554,548
2896,559,556,550
2900,559,554,549
2904,559,552,547
2908,559,553,547
2912,559,556,550
2916,559,555,550
2920,559,552,547
2924,559,553,547
2928,559,555,550
2932,559,555,550
2936,559,552,547
2940,559,553,547
2944,559,555,549
2948,559,555,550
2952,559,553,548
2956,559,552,547
2960,559,554,549
2964,559,555,550
2968,559,553,548
2972,559,552,547
2976,559,554,549
2980,559,555,550
2984,559,553,548
2988,559,552,547
2992,559,553,548
2996,559,555,550
3000,559,554,549
3004,559,552,547
3008,559,553,547
3012,559,555,550
3016,559,554,549
3020,559,552,547
3024,558,553,547
3028,558,555,550
3032,559,555,550
3036,559,552,547
3040,559,552,547
3044,559,555,549
3048,559,555,550
3052,559,553,548
3056,559,552,547
3060,559,555,549
3064,559,555,550
3068,559,553,548
3072,559,552,547
3076,559,553,548
3080,559,555,550
3084,559,554,549
3088,559,552,547
3092,559,553,548
3096,559,555,550
3100,559,554,549
3104,559,552,547
3108,559,553,548
3112,559,555,550
3116,559,554,549
3120,559,552,547
3124,559,552,547
3128,559,555,550
3132,559,555,550
3136,559,552,547
3140,559,552,547
3144,559,555,550
3148,559,555,550
3152,559,552,547
3156,559,552,547
3160,559,554,549
3164,559,555,550
3168,559,553,548
3172,559,552,546
3176,558,554,548
3180,558,555,550
3184,559,554,549
3188,559,552,547
3192,559,554,548
3196,559,555,550
3200,559,554,549
3204,559,552,547
3208,559,553,547
3212,559,555,550
3216,559,555,550
3220,559,552,547
3224,559,553,547
3228,559,555,550
3232,559,555,550
3236,559,552,547
3240,559,553,548
3244,559,555,550
3248,559,555,550
3252,559,553,548
3256,559,552,547
3260,559,555,549
3264,559,555,550
3268,559,553,548
3272,559,552,547
3276,559,554,549
3280,559,555,550
3284,559,553,548
3288,559,552,547
3292,559,554,548
3296,559,556,551
3300,559,555,550
3304,559,552,547
3308,559,553,548
3312,559,556,550
3316,559,555,550
3320,559,552,547
3324,559,553,548
3328,559,555,550
3332,559,555,550
3336,559,553,548
3340,559,553,547
3344,559,555,550
3348,559,555,550
3352,559,553,548
3356,559,553,547
3360,559,555,550
3364,559,555,550
3368,559,553,548
3372,559,552,547
3376,559,554,549
3380,559,555,550
3384,559,554,549
3388,559,552,547
3392,559,554,548
3396,559,555,550
3400,559,554,549
3404,559,552,547
3408,559,553,548
3412,559,555,550
3416,559,554,549
3420,559,552,547
3424,559,553,547
3428,559,555,550
3432,558,555,550
3436,558,552,547
3440,559,552,547
3444,558,555,550
3448,559,555,550
3452,559,552,547
3456,559,552,547
3460,559,554,549
3464,559,555,550
3468,559,553,548
3472,559,551,546
3476,559,554,548
3480,559,555,550
3484,559,553,548
3488,559,552,547
3492,559,554,548
3496,559,555,550
3500,559,554,549
3504,559,552,547
3508,559,553,547
3512,559,555,550
3516,559,554,549
3520,558,552,547
3524,559,553,547
3528,559,555,550
3532,558,554,549
3536,558,552,547
3540,558,552,547
3544,558,554,549
3548,558,554,549
3552,558,552,547
3556,558,552,546
3560,558,554,548
3564,558,554,549
3568,558,552,547
3572,558,551,546
3576,558,553,548
3580,558,554,549
3584,558,553,548
3588,558,551,546
3592,558,552,547
3596,558,555,549
3600,558,553,548
3604,558,551,546
3608,558,552,547
3612,558,555,549
3616,558,554,549
3620,558,551,546
3624,558,552,547
3628,558,554,549
3632,558,554,549
3636,558,552,547
3640,558,552,547
3644,558,554,549
3648,558,554,549
3652,558,552,547
3656,558,552,546
3660,558,554,549
3664,558,555,549
3668,558,552,547
3672,558,552,547
3676,558,554,548
3680,558,555,550
3684,558,553,548
3688,558,552,546
3692,558,553,548
3696,558,555,550
3700,558,553,548
3704,558,552,546
3708,558,553,548
3712,558,555,550
3716,558,554,549
3720,558,552,547
3724,558,553,547
3728,558,555,550
3732,558,554,549
3736,559,552,547
3740,558,552,547
3744,559,555,550
3748,559,555,550
3752,559,552,547
3756,559,552,547
3760,558,554,549
3764,559,555,550
3768,559,553,548
3772,559,552,547
3776,559,554,549
3780,559,555,550
3784,559,553,548
3788,558,552,547
3792,559,554,549
3796,559,555,550
3800,559,554,549
3804,558,552,547
3808,558,553,547
3812,559,555,550
3816,558,554,549
3820,558,552,547
3824,558,553,547
3828,558,555,550
3832,558,554,549
3836,558,552,547
3840,558,552,547
3844,558,555,549
3848,558,555,550
3852,558,552,547
3856,558,552,547
3860,558,554,549
3864,559,555,550
3868,558,553,548
3872,559,552,547
3876,558,554,549
3880,558,555,550
3884,558,553,548
3888,558,552,546
3892,558,553,548
3896,558,555,550
3900,559,554,549
3904,558,552,547
3908,558,553,548
3912,559,555,550
3916,559,554,549
3920,559,552,547
3924,559,553,548
3928,559,555,550
3932,559,555,550
3936,559,552,547
3940,559,552,547
3944,559,555,550
3948,558,555,550
3952,558,552,547
3956,558,552,547
3960,558,555,549
3964,558,555,550
3968,558,553,548
3972,559,552,547
3976,558,554,549
3980,559,555,550
3984,559,553,548
3988,559,552,547
3992,558,554,548
3996,558,555,550
4000,558,553,548
4004,559,552,546
4008,558,553,548
4012,559,555,550
4016,558,554,549
4020,559,552,547
4024,559,553,547
4028,558,555,550
4032,559,554,549
4036,558,552,547
4040,559,552,547
4044,559,555,550
4048,559,554,549
4052,559,552,547
4056,559,552,547
4060,558,554,549
4064,559,555,550
4068,559,553,548
4072,559,552,547
4076,559,554,549
4080,559,555,550
4084,559,553,548
4088,559,552,547
4092,559,554,549
4096,559,555,550
4100,559,554,549
4104,559,552,547
4108,559,553,548
4112,559,555,550
4116,559,554,549
4120,559,552,547
4124,559,553,547
4128,559,555,550
4132,559,554,549
4136,559,552,547
4140,559,553,547
4144,559,555,550
4148,559,555,550
4152,559,552,547
4156,559,552,547
4160,559,555,549
4164,559,555,550
4168,559,553,548
4172,559,552,547
4176,559,554,549
4180,559,555,550
4184,559,554,548
4188,559,552,547
4192,559,554,548
4196,559,555,550
4200,559,554,549
4204,559,552,547
4208,559,554,548
4212,559,556,550
4216,559,554,549
4220,559,552,547
4224,559,553,548
4228,559,555,550
4232,559,555,550
4236,559,552,547
4240,559,553,547
4244,559,555,550
4248,559,555,550
4252,559,552,547
4256,559,552,547
4260,559,555,550
4264,559,555,550
4268,559,553,548
4272,559,552,547
4276,559,554,549
4280,559,555,550
4284,559,553,548
4288,559,552,547
4292,559,554,549
4296,559,555,550
4300,559,554,549
4304,559,552,547
4308,559,554,548
4312,559,555,550
4316,559,555,550
4320,559,552,547
4324,559,553,548
4328,559,556,550
4332,559,555,550
4336,559,552,547
4340,559,553,548
4344,559,556,550
4348,559,555,550
4352,559,553,548
4356,559,552,547
4360,559,555,549
