Times (us),interval (us),strain (raw),sensorValue0 (raw)
66276,66276,2759805,529
78776,12500,2759769,529
91276,12500,2759972,529
103780,12504,2760390,529
116280,12500,2760273,529
128780,12500,2759635,529
141280,12500,2759642,529
153780,12500,2760029,529
166284,12504,2760289,529
178784,12500,2761977,529
191288,12504,2763181,529
203788,12500,2764231,529
216288,12500,2764493,529
228788,12500,2763735,529
241288,12500,2762878,530
253792,12504,2763075,530
266296,12504,2764364,530
278796,12500,2766299,530
291296,12500,2767771,530
303796,12500,2767347,530
316296,12500,2766996,530
328796,12500,2767610,530
341300,12504,2768799,530
353800,12500,2769403,530
366300,12500,2769183,530
378804,12504,2768371,530
391304,12500,2767308,530
403804,12500,2763437,530
416304,12500,2760869,530
428804,12500,2761238,529
441304,12500,2763165,529
453804,12500,2763936,529
466304,12500,2762842,529
478808,12504,2762007,530
491312,12504,2762270,530
503812,12500,2762714,530
516312,12500,2762038,530
528816,12504,2761972,530
541316,12500,2762446,530
553816,12500,2762745,530
566316,12500,2762722,530
578816,12500,2762233,530
591316,12500,2761952,530
603816,12500,2762222,530
616320,12504,2762496,530
628824,12504,2762379,529
641328,12504,2762089,529
653832,12504,2762388,529
666332,12500,2762587,529
678836,12504,2762576,530
691340,12504,2762494,530
703840,12500,2762290,530
716340,12500,2762243,530
728844,12504,2762494,530
741344,12500,2762407,530
753848,12504,2762230,529
766348,12500,2762390,530
778848,12500,2762632,530
791348,12500,2762675,530
803852,12504,2762493,530
816352,12500,2762228,530
828856,12504,2762235,530
841356,12500,2762782,530
853856,12500,2762476,530
866356,12500,2762199,530
878856,12500,2762336,530
891356,12500,2762782,530
903856,12500,2762741,530
916360,12504,2762352,530
928860,12500,2762211,530
941360,12500,2762321,530
953860,12500,2762557,530
966360,12500,2762594,530
978860,12500,2762351,530
991360,12500,2762333,530
1003860,12500,2762423,530
1016364,12504,2762691,530
1028864,12500,2762439,530
1041364,12500,2762152,530
1053864,12500,2762371,530
1066364,12500,2762695,530
1078864,12500,2762582,530
1091364,12500,2762306,530
1103864,12500,2762351,530
1116364,12500,2762527,530
1128864,12500,2762425,530
1141364,12500,2762473,530
1153868,12504,2762592,530
1166368,12500,2762582,530
1178868,12500,2762712,530
1191372,12504,2762189,530
1203872,12500,2762298,530
1216372,12500,2762653,530
1228876,12504,2762609,530
1241376,12500,2762445,530
1253876,12500,2762459,530
1266376,12500,2762585,530
1278876,12500,2762575,530
