Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,386,352
8,439,419,392
12,439,433,418
16,439,436,428
20,439,433,426
24,439,433,427
28,439,437,433
32,439,437,434
36,439,433,428
40,439,433,427
44,439,436,432
48,439,437,435
52,439,434,430
56,439,433,426
60,439,435,431
64,439,437,435
68,439,435,431
72,439,433,426
76,439,435,431
80,439,437,435
84,440,435,431
88,439,433,427
92,439,434,429
96,439,437,435
100,439,436,433
104,439,433,427
108,439,434,428
112,439,437,434
116,439,436,433
120,439,433,427
124,439,434,428
128,439,436,433
132,439,437,435
136,439,434,429
140,439,433,427
144,439,436,432
148,440,437,435
152,439,434,430
156,439,433,427
160,439,436,432
164,439,437,435
168,439,434,430
172,439,433,427
176,439,435,430
180,439,437,435
184,439,435,432
188,439,433,427
192,439,434,429
196,439,437,435
200,439,436,433
204,439,433,427
208,439,434,429
212,439,437,434
216,439,436,433
220,439,433,428
224,439,433,427
228,439,437,433
232,439,437,434
236,439,434,429
240,439,433,427
244,439,436,433
248,439,437,434
252,439,434,429
256,439,433,427
260,439,435,431
264,439,437,435
268,439,435,431
272,439,433,427
276,439,435,430
280,439,438,435
284,439,435,431
288,439,433,427
292,439,435,430
296,439,437,435
300,439,436,433
304,439,433,427
308,439,434,428
312,439,437,434
316,440,437,434
320,439,433,428
324,439,434,428
328,439,437,434
332,440,437,434
336,439,433,428
340,440,433,427
344,439,436,432
348,440,437,435
352,439,434,430
356,439,433,427
360,439,436,432
364,439,437,435
368,439,435,431
372,439,433,427
376,439,435,431
380,439,437,435
384,439,435,432
388,439,433,427
392,439,434,429
396,439,437,435
400,439,436,433
404,439,433,427
408,439,434,428
412,439,437,434
416,439,436,433
420,439,433,427
424,439,434,428
428,439,437,433
432,439,437,435
436,439,434,429
440,439,433,427
444,439,436,432
448,439,437,435
452,439,434,429
456,439,433,427
460,439,436,432
464,439,437,435
468,439,434,429
472,439,433,427
476,439,435,430
480,439,437,435
